Index	skillByslotDec	skillByCardDec
编号	卡槽里的技能说明(组合技能专用)	卡片上的技能说明(卡片技能专用)
(801,1)		反弹伤害3%，最大反伤值不超过自身生命值的50%
(801,2)		反弹伤害4%，最大反伤值不超过自身生命值的50%
(801,3)		反弹伤害5%，最大反伤值不超过自身生命值的50%
(801,4)		反弹伤害6%，最大反伤值不超过自身生命值的50%
(801,5)		反弹伤害8%，最大反伤值不超过自身生命值的50%
(801,6)		反弹伤害5%，最大反伤值不超过自身生命值的50%
(801,7)		反弹伤害6%，最大反伤值不超过自身生命值的50%
(801,8)		反弹伤害7%，最大反伤值不超过自身生命值的50%
(801,9)		反弹伤害8%，最大反伤值不超过自身生命值的50%
(801,10)		反弹伤害10%，最大反伤值不超过自身生命值的50%
(801,11)		反弹伤害12%，最大反伤值不超过自身生命值的50%
(801,12)		反弹伤害14%，最大反伤值不超过自身生命值的50%
(801,13)		反弹伤害16%，最大反伤值不超过自身生命值的50%
(801,14)		反弹伤害18%，最大反伤值不超过自身生命值的50%
(801,15)		反弹伤害20%，最大反伤值不超过自身生命值的50%
(802,1)		生命低于30%时，无视伤害概率加成6%两回合，战斗中生效一次
(802,2)		生命低于30%时，无视伤害概率加成8%两回合，战斗中生效一次
(802,3)		生命低于30%时，无视伤害概率加成10%两回合，战斗中生效一次
(802,4)		生命低于30%时，无视伤害概率加成12%两回合，战斗中生效一次
(802,5)		生命低于30%时，无视伤害概率加成15%两回合，战斗中生效一次
(802,6)		生命低于50%时，无视伤害概率加成8%两回合，战斗中生效一次
(802,7)		生命低于50%时，无视伤害概率加成10%两回合，战斗中生效一次
(802,8)		生命低于50%时，无视伤害概率加成12%两回合，战斗中生效一次
(802,9)		生命低于50%时，无视伤害概率加成14%两回合，战斗中生效一次
(802,10)		生命低于50%时，无视伤害概率加成17%两回合，战斗中生效一次
(802,11)		生命低于50%时，无视伤害概率加成20%两回合，战斗中生效一次
(802,12)		生命低于50%时，无视伤害概率加成23%两回合，战斗中生效一次
(802,13)		生命低于50%时，无视伤害概率加成26%两回合，战斗中生效一次
(802,14)		生命低于50%时，无视伤害概率加成30%两回合，战斗中生效一次
(802,15)		生命低于50%时，无视伤害概率加成35%两回合，战斗中生效一次
(803,1)		暴击伤害提升15%
(803,2)		暴击伤害提升18%
(803,3)		暴击伤害提升21%
(803,4)		暴击伤害提升25%
(803,5)		暴击伤害提升30%
(803,6)		暴击伤害提升25%
(803,7)		暴击伤害提升28%
(803,8)		暴击伤害提升31%
(803,9)		暴击伤害提升35%
(803,10)		暴击伤害提升40%
(803,11)		暴击伤害提升45%
(803,12)		暴击伤害提升51%
(803,13)		暴击伤害提升57%
(803,14)		暴击伤害提升63%
(803,15)		暴击伤害提升70%
(804,1)		生命低于30%时，回血20%，战斗中生效一次
(804,2)		生命低于30%时，回血24%，战斗中生效一次
(804,3)		生命低于30%时，回血29%，战斗中生效一次
(804,4)		生命低于30%时，回血34%，战斗中生效一次
(804,5)		生命低于30%时，回血40%，战斗中生效一次
(804,6)		生命低于30%时，回血30%，战斗中生效一次
(804,7)		生命低于30%时，回血34%，战斗中生效一次
(804,8)		生命低于30%时，回血39%，战斗中生效一次
(804,9)		生命低于30%时，回血44%，战斗中生效一次
(804,10)		生命低于30%时，回血50%，战斗中生效一次
(804,11)		生命低于30%时，回血58%，战斗中生效一次
(804,12)		生命低于30%时，回血66%，战斗中生效一次
(804,13)		生命低于30%时，回血75%，战斗中生效一次
(804,14)		生命低于30%时，回血85%，战斗中生效一次
(804,15)		生命低于30%时，回血100%，战斗中生效一次
(805,1)		战斗开始时受到伤害减少16%，持续2回合
(805,2)		战斗开始时受到伤害减少18%，持续2回合
(805,3)		战斗开始时受到伤害减少22%，持续2回合
(805,4)		战斗开始时受到伤害减少26%，持续2回合
(805,5)		战斗开始时受到伤害减少32%，持续2回合
(805,6)		战斗开始时受到伤害减少24%，持续2回合
(805,7)		战斗开始时受到伤害减少26%，持续2回合
(805,8)		战斗开始时受到伤害减少30%，持续2回合
(805,9)		战斗开始时受到伤害减少34%，持续2回合
(805,10)		战斗开始时受到伤害减少40%，持续2回合
(805,11)		战斗开始时受到伤害减少46%，持续2回合
(805,12)		战斗开始时受到伤害减少54%，持续2回合
(805,13)		战斗开始时受到伤害减少62%，持续2回合
(805,14)		战斗开始时受到伤害减少70%，持续2回合
(805,15)		战斗开始时受到伤害减少80%，持续2回合
(806,1)		敌方每回合持续减血，减少血量为自身攻击力的3%，不受敌方防御属性影响
(806,2)		敌方每回合持续减血，减少血量为自身攻击力的4%，不受敌方防御属性影响
(806,3)		敌方每回合持续减血，减少血量为自身攻击力的5%，不受敌方防御属性影响
(806,4)		敌方每回合持续减血，减少血量为自身攻击力的6%，不受敌方防御属性影响
(806,5)		敌方每回合持续减血，减少血量为自身攻击力的8%，不受敌方防御属性影响
(806,6)		敌方每回合持续减血，减少血量为自身攻击力的5%，不受敌方防御属性影响
(806,7)		敌方每回合持续减血，减少血量为自身攻击力的6%，不受敌方防御属性影响
(806,8)		敌方每回合持续减血，减少血量为自身攻击力的7%，不受敌方防御属性影响
(806,9)		敌方每回合持续减血，减少血量为自身攻击力的8%，不受敌方防御属性影响
(806,10)		敌方每回合持续减血，减少血量为自身攻击力的10%，不受敌方防御属性影响
(806,11)		敌方每回合持续减血，减少血量为自身攻击力的12%，不受敌方防御属性影响
(806,12)		敌方每回合持续减血，减少血量为自身攻击力的14%，不受敌方防御属性影响
(806,13)		敌方每回合持续减血，减少血量为自身攻击力的16%，不受敌方防御属性影响
(806,14)		敌方每回合持续减血，减少血量为自身攻击力的18%，不受敌方防御属性影响
(806,15)		敌方每回合持续减血，减少血量为自身攻击力的20%，不受敌方防御属性影响
(807,1)		目标生命高于70%时候，造成伤害提升20%
(807,2)		目标生命高于70%时候，造成伤害提高24%
(807,3)		目标生命高于70%时候，造成伤害提高29%
(807,4)		目标生命高于70%时候，造成伤害提高34%
(807,5)		目标生命高于70%时候，造成伤害提高40%
(807,6)		目标生命高于50%时候，造成伤害提高20%
(807,7)		目标生命高于50%时候，造成伤害提高24%
(807,8)		目标生命高于50%时候，造成伤害提高29%
(807,9)		目标生命高于50%时候，造成伤害提高34%
(807,10)		目标生命高于50%时候，造成伤害提高40%
(807,11)		目标生命高于50%时候，造成伤害提高46%
(807,12)		目标生命高于50%时候，造成伤害提高53%
(807,13)		目标生命高于50%时候，造成伤害提高60%
(807,14)		目标生命高于50%时候，造成伤害提高67%
(807,15)		目标生命高于50%时候，造成伤害提高75%
(808,1)		格挡强度提升15%
(808,2)		格挡强度提升18%
(808,3)		格挡强度提升21%
(808,4)		格挡强度提升25%
(808,5)		格挡强度提升30%
(808,6)		格挡强度提升25%
(808,7)		格挡强度提升28%
(808,8)		格挡强度提升31%
(808,9)		格挡强度提升35%
(808,10)		格挡强度提升40%
(808,11)		格挡强度提升45%
(808,12)		格挡强度提升51%
(808,13)		格挡强度提升57%
(808,14)		格挡强度提升63%
(808,15)		格挡强度提升70%
(809,1)		免破率提升7%
(809,2)		免破率提升8%
(809,3)		免破率提升9%
(809,4)		免破率提升10%
(809,5)		免破率提升12%
(809,6)		免破率提升10%
(809,7)		免破率提升11%
(809,8)		免破率提升12%
(809,9)		免破率提升13%
(809,10)		免破率提升15%
(809,11)		免破率提升17%
(809,12)		免破率提升19%
(809,13)		免破率提升22%
