suitId	cnt	skill	pt1	pv1	pt2	pv2	skillIcon	skillName	skillByCardDec	skillByCardTipDec	skillzdl
天赋套装Id	需求天赋卡数	附带的被动技能	属性1	属性1的值	属性2	属性2的值	技能图标	组合技名字	卡片上的组合技能悬浮说明	悬浮上的组合技能说明	技能战斗力
901	3	[(901,1),(901,2),(901,3),(901,4),(901,5),(901,6),(901,7),(901,8),(901,9),(901,10),(901,11),(901,12),(901,13),(901,14),(901,15)]	1	[4500,4800,5100,6000,7500,7500,7800,8100,9000,10500,12600,15000,18000,21600,27000]	0		jntfk1	神之守护	#C(#00ff00)神之守护：提升格挡强度，最大可提升70%#H最大组合效果：生命27000#H#C(#FFFF00)激活：水瓶座+射手座+双鱼座#n#n	#C(#00ff00)神之守护：提升格挡强度，最大可提升70%#H最大组合效果：生命27000#H#C(#FFFF00)激活：水瓶座+射手座+双鱼座#n#n	[1875,2550,3525,4500,5625,5625,6300,7275,8250,9375,11100,12750,15000,18600,23250]
902	3	[(902,1),(902,2),(902,3),(902,4),(902,5),(902,6),(902,7),(902,8),(902,9),(902,10),(902,11),(902,12),(902,13),(902,14),(902,15)]	1	[4500,4800,5100,6000,7500,7500,7800,8100,9000,10500,12600,15000,18000,21600,27000]	0		jntfk2	钢铁意志	#C(#00ff00)钢铁意志：战斗开始时减少受到的伤害2回合，最大减少80%#H最大组合效果：生命27000#H#C(#FFFF00)激活：水瓶座+凤凰座+白羊座#n#n	#C(#00ff00)钢铁意志：减少战斗开始时自身受到的伤害2回合，最大减少80%#H最大组合效果：生命27000#H#C(#FFFF00)激活：水瓶座+凤凰座+白羊座#n#n	[1875,2550,3525,4500,5625,5625,6300,7275,8250,9375,11100,12750,15000,18600,23250]
903	3	[(903,1),(903,2),(903,3),(903,4),(903,5),(903,6),(903,7),(903,8),(903,9),(903,10),(903,11),(903,12),(903,13),(903,14),(903,15)]	4	[1500,1600,1700,2000,2500,2500,2600,2700,3000,3500,4200,5000,6000,7200,9000]	6	[1500,1600,1700,2000,2500,2500,2600,2700,3000,3500,4200,5000,6000,7200,9000]	jntfk3	灵魂吸收	#C(#00ff00)灵魂吸收：造成的一次伤害按比例转化为自身的生命值，最大可吸收20%#H最大组合效果：物攻+9000 法攻+9000#H#C(#FFFF00)激活：双鱼座+双子座+天蝎座#n#n	#C(#00ff00)灵魂吸收：造成的一次伤害按比例转化为自身的生命值，最大可吸收20%#H最大组合效果：物攻+9000 法攻+9000#H#C(#FFFF00)激活：双鱼座+双子座+天蝎座#n#n	[1875,2550,3525,4500,5625,5625,6300,7275,8250,9375,11100,12750,15000,18600,23250]
904	3	[(904,1),(904,2),(904,3),(904,4),(904,5),(904,6),(904,7),(904,8),(904,9),(904,10),(904,11),(904,12),(904,13),(904,14),(904,15)]	4	[1500,1600,1700,2000,2500,2500,2600,2700,3000,3500,4200,5000,6000,7200,9000]	6	[1500,1600,1700,2000,2500,2500,2600,2700,3000,3500,4200,5000,6000,7200,9000]	jntfk4	狂怒咆哮	#C(#00ff00)狂怒咆哮：目标生命值高于50%时，提升自身伤害，最大可提升75%#H最大组合效果：物攻+9000 法攻+9000#H#C(#FFFF00)激活：双子座+天鹅座+狮子座#n#n	#C(#00ff00)狂怒咆哮：目标生命值高于50%时，提升自身伤害，最大可提升75%#H最大组合效果：物攻+9000 法攻+9000#H#C(#FFFF00)激活：双子座+天鹅座+狮子座#n#n	[1875,2550,3525,4500,5625,5625,6300,7275,8250,9375,11100,12750,15000,18600,23250]
905	3	[(905,1),(905,2),(905,3),(905,4),(905,5),(905,6),(905,7),(905,8),(905,9),(905,10),(905,11),(905,12),(905,13),(905,14),(905,15)]	1	[4500,4800,5100,6000,7500,7500,7800,8100,9000,10500,12600,15000,18000,21600,27000]	0		jntfk5	尖刺防御	#C(#00ff00)尖刺防御：反弹自身受到的伤害，最大可反弹20%，且不超过自身最大生命值50%#H最大组合效果：生命27000#H#C(#FFFF00)激活：巨蟹座+金牛座+天秤座#n#n	#C(#00ff00)尖刺防御：反弹自身受到的伤害，最大可反弹20%，且不超过自身最大生命值50%#H最大组合效果：生命27000#H#C(#FFFF00)激活：巨蟹座+金牛座+天秤座#n#n	[1875,2550,3525,4500,5625,5625,6300,7275,8250,9375,11100,12750,15000,18600,23250]
906	3	[(906,1),(906,2),(906,3),(906,4),(906,5),(906,6),(906,7),(906,8),(906,9),(906,10),(906,11),(906,12),(906,13),(906,14),(906,15)]	1	[4500,4800,5100,6000,7500,7500,7800,8100,9000,10500,12600,15000,18000,21600,27000]	0		jntfk6	时光倒流	#C(#00ff00)时光倒流：战斗中复活且回复一定生命值，最大回复100%生命值#H最大组合效果：生命27000#H#C(#FFFF00)激活：巨蟹座+飞马座+狮子座#n#n	#C(#00ff00)时光倒流：战斗中复活且回复一定生命值，最大回复100%生命值#H最大组合效果：生命27000#H#C(#FFFF00)激活：巨蟹座+飞马座+狮子座#n#n	[1875,2550,3525,4500,5625,5625,6300,7275,8250,9375,11100,12750,15000,18600,23250]
907	3	[(907,1),(907,2),(907,3),(907,4),(907,5),(907,6),(907,7),(907,8),(907,9),(907,10),(907,11),(907,12),(907,13),(907,14),(907,15)]	1	[4500,4800,5100,6000,7500,7500,7800,8100,9000,10500,12600,15000,18000,21600,27000]	0		jntfk7	黑暗之盾	#C(#00ff00)黑暗之盾：减少自身受到的伤害，最大可减少40%#H最大组合效果：生命27000#H#C(#FFFF00)激活：处女座+猎户座+天鹰座#n#n	#C(#00ff00)黑暗之盾：减少自身受到的伤害，最大可减少40%#H最大组合效果：生命27000#H#C(#FFFF00)激活：处女座+猎户座+天鹰座#n#n	[1875,2550,3525,4500,5625,5625,6300,7275,8250,9375,11100,12750,15000,18600,23250]
908	3	[(908,1),(908,2),(908,3),(908,4),(908,5),(908,6),(908,7),(908,8),(908,9),(908,10),(908,11),(908,12),(908,13),(908,14),(908,15)]	4	[1500,1600,1700,2000,2500,2500,2600,2700,3000,3500,4200,5000,6000,7200,9000]	6	[1500,1600,1700,2000,2500,2500,2600,2700,3000,3500,4200,5000,6000,7200,9000]	jntfk8	战斗狂暴	#C(#00ff00)战斗狂暴：提升自身的伤害量，最大可提升50%#H最大组合效果：物攻+9000 法攻+9000#H#C(#FFFF00)激活：处女座+射手座+天鹅座#n#n	#C(#00ff00)战斗狂暴：提升自身的伤害量，最大可提升50%#H最大组合效果：物攻+9000 法攻+9000#H#C(#FFFF00)激活：处女座+射手座+天鹅座#n#n	[1875,2550,3525,4500,5625,5625,6300,7275,8250,9375,11100,12750,15000,18600,23250]
909	3	[(909,1),(909,2),(909,3),(909,4),(909,5),(909,6),(909,7),(909,8),(909,9),(909,10),(909,11),(909,12),(909,13),(909,14),(909,15)]	4	[1500,1600,1700,2000,2500,2500,2600,2700,3000,3500,4200,5000,6000,7200,9000]	6	[1500,1600,1700,2000,2500,2500,2600,2700,3000,3500,4200,5000,6000,7200,9000]	jntfk9	无尽怒火	#C(#00ff00)无尽怒火：增加自身的暴击伤害，最大可提升70%#H最大组合效果：物攻+9000 法攻+9000#H#C(#FFFF00)激活：白羊座+天蝎座+摩羯座#n#n	#C(#00ff00)无尽怒火：增加自身的暴击伤害，最大可提升70%#H最大组合效果：物攻+9000 法攻+9000#H#C(#FFFF00)激活：白羊座+天蝎座+摩羯座#n#n	[1875,2550,3525,4500,5625,5625,6300,7275,8250,9375,11100,12750,15000,18600,23250]
