ringLevel	ringExp	grade4	grade5	grade6
光环等级	光环升级经验	紫色宝物加成[等级1，等级2...]	黄色宝物加成	红色宝物加成
0	50	[0,0,0,0,0,0,0,0,0,0,0]	[0,0,0,0,0,0,0,0,0,0,0]	[0,0,0,0,0,0,0,0,0,0,0]
1	100	[0,0,0,0,0,2000,2500,3000,3500,4000]	[0,0,0,0,0,2000,2500,3000,3500,4000]	[0,0,0,0,0,2100,2700,3300,3900,4500]
2	150	[0,0,0,0,0,2500,3000,3500,4000,4500]	[0,0,0,0,0,2500,3000,3500,4000,4500]	[0,0,0,0,0,2700,3300,3900,4500,5100]
3	200	[0,0,0,0,0,3000,3500,4000,4500,5000]	[0,0,0,0,0,3000,3500,4000,4500,5000]	[0,0,0,0,0,3300,3900,4500,5100,5700]
4	250	[0,0,0,0,0,3500,4000,4500,5000,5500]	[0,0,0,0,0,3500,4000,4500,5000,5500]	[0,0,0,0,0,3900,4500,5100,5700,6300]
5	300	[0,0,0,0,0,4000,4500,5000,5500,6000]	[0,0,0,0,0,4000,4500,5000,5500,6000]	[0,0,0,0,0,4500,5100,5700,6300,6900]
6	350	[0,0,0,0,0,4500,5000,5500,6000,6500]	[0,0,0,0,0,4500,5000,5500,6000,6500]	[0,0,0,0,0,5100,5700,6300,6900,7500]
7	400	[0,0,0,0,0,5000,5500,6000,6500,7000]	[0,0,0,0,0,5000,5500,6000,6500,7000]	[0,0,0,0,0,5700,6300,6900,7500,8100]
8	450	[0,0,0,0,0,5500,6000,6500,7000,7500]	[0,0,0,0,0,5500,6000,6500,7000,7500]	[0,0,0,0,0,6300,6900,7500,8100,8700]
9	500	[0,0,0,0,0,6000,6500,7000,7500,8000]	[0,0,0,0,0,6000,6500,7000,7500,8000]	[0,0,0,0,0,6900,7500,8100,8700,9300]
10	550	[0,0,0,0,0,6500,7000,7500,8000,8500]	[0,0,0,0,0,6500,7000,7500,8000,8500]	[0,0,0,0,0,7600,8200,8800,9400,10000]
