taskStep	fightCampId	fightType	anger	studySkill	star_3_round	rewardExp_3	rewardMoney_3	rewardItem_3	star_2_round	rewardExp_2	rewardMoney_2	rewardItem_2	star_1_round	rewardExp_1	rewardMoney_1	rewardItem_1
主线任务步骤；20,50为北美版特殊战斗	战斗campId	战斗类型	特殊战斗士气	特殊战斗学习技能	3星最大回合数（比如填4，小于等于4回合为3星）	奖励经验	奖励金币	奖励物品	2星最大回合数	奖励经验	奖励金币	奖励物品	1星最大回合数	奖励经验	奖励金币	奖励物品
290	4000	11	12	(1, 11)	4	700	4666		9	700	3500	(25601,1)	99	700	2333	
320	4001	12	30	(2, 12)	4	700	4666		9	700	3500		99	700	2333	
380	4002	101	0		4	1500	4666	(25636,1)	9	1500	3500	(25636,1)	99	1500	2333	(25636,1)
440	4003	13	50	(3, 13)	8	1500	4666	(25636,1)	12	1500	3500	(25636,1)	99	1500	2333	(25636,1)
590	4004	101	0		4	3000	4666	(25636,1)	9	3000	3500	(25636,1)	99	3000	2333	(25636,1)
620	4005	102	0		8	4000	4666	(25636,1)	12	4000	3500	(25636,1)	99	4000	2333	(25636,1)
710	4006	103	0		8	5000	4666	(25636,1)	12	5000	3500	(25636,1)	99	5000	2333	(25636,1)
740	4007	104	0		4	6000	4666	(25636,1)	9	6000	3500	(25636,1)	99	6000	2333	(25636,1)
860	4008	105	0		4	7000	4666	(25636,1)	9	7000	3500	(25636,1)	99	7000	2333	(25636,1)
980	4009	106	0		8	8000	4666	(25636,1)	12	8000	3500	(25636,1)	99	8000	2333	(25636,1)
1130	4010	107	0		8	9000	4666	(25636,1)	12	9000	3500	(25636,1)	99	9000	2333	(25636,1)
1190	4011	108	0		8	10000	4666	(25636,1)	12	10000	3500	(25636,1)	99	10000	2333	(25636,1)
1250	4012	109	0		8	11000	4666	(25636,1)	12	11000	3500	(25636,1)	99	11000	2333	(25636,1)
1280	4013	110	0		8	12000	4666	(25636,2)	12	12000	3500	(25636,2)	99	12000	2333	(25636,2)
1460	4014	111	0		4	13000	4666	(25636,2)	9	13000	3500	(25636,2)	99	13000	2333	(25636,2)
1520	4015	112	0		8	14000	4666	(25636,1)	12	14000	3500	(25636,1)	99	14000	2333	(25636,1)
1580	4016	113	0		4	15000	4666	(25636,1)	9	15000	3500	(25636,1)	99	15000	2333	(25636,1)
1640	4017	114	0		8	16000	4666	(25636,1)	12	16000	3500	(25636,1)	99	16000	2333	(25636,1)
1700	4018	115	0		4	17000	4666	(25636,1)	9	17000	3500	(25636,1)	99	17000	2333	(25636,1)
1760	4019	116	0		8	18000	6666		12	18000	5000		99	18000	3333	
1820	4020	117	0		8	19000	6666		12	19000	5000		99	19000	3333	
1880	4021	118	0		8	20000	6666		12	20000	5000		99	20000	3333	
1940	4022	119	0		8	20000	6666		12	20000	5000		99	20000	3333	
2060	4023	120	0		8	5000	6666		12	5000	5000		99	5000	3333	
2090	4024	126	0		8	5000	8666		12	5000	6500		99	5000	4333	
2150	4025	127	0		4	5000	8666		9	5000	6500		99	5000	4333	
2180	4026	128	0		4	5000	8666		9	5000	6500		99	5000	4333	
2240	4027	126	0		4	5000	8666		9	5000	6500		99	5000	4333	
2300	4028	127	0		8	5000	8666		12	5000	6500		99	5000	4333	
2360	4029	128	0		8	5000	8666		12	5000	6500		99	5000	4333	
2390	4030	126	0		8	5000	8666		12	5000	6500		99	5000	4333	
2450	4031	127	0		8	5000	8666		12	5000	6500		99	5000	4333	
2480	4032	128	0		4	5000	8666		9	5000	6500		99	5000	4333	
2510	4033	126	0		4	5000	8666		9	5000	6500		99	5000	4333	
2570	4034	129	0		4	5000	8666		9	5000	6500		99	5000	4333	
2600	4035	130	0		8	5000	8666		12	5000	6500		99	5000	4333	
2630	4036	131	0		4	5000	8666		9	5000	6500		99	5000	4333	
2690	4037	132	0		8	5000	8666		12	5000	6500		99	5000	4333	
2750	4038	129	0		4	5000	8666		9	5000	6500		99	5000	4333	
2810	4039	130	0		8	5000	10666		12	5000	8000		99	5000	5333	
2840	4040	131	0		4	5000	10666		9	5000	8000		99	5000	5333	
2900	4041	132	0		8	5000	10666		12	5000	8000		99	5000	5333	
2930	4042	129	0		4	5000	10666		9	5000	8000		99	5000	5333	
2960	4043	130	0		8	5000	10666		12	5000	8000		99	5000	5333	
3020	4044	131	0		4	5000	10666		9	5000	8000		99	5000	5333	
3140	4045	132	0		8	5000	10666		12	5000	8000		99	5000	5333	
3230	4046	133	0		8	5000	10666		12	5000	8000		99	5000	5333	
3260	4047	134	0		8	5000	10666		12	5000	8000		99	5000	5333	
3350	4048	133	0		4	5000	10666		9	5000	8000		99	5000	5333	
3410	4049	134	0		4	5000	10666		9	5000	8000		99	5000	5333	
3470	4050	133	0		4	5000	10666		9	5000	8000		99	5000	5333	
3500	4051	134	0		4	5000	10666		9	5000	8000		99	5000	5333	
3590	4052	133	0		8	5000	10666		12	5000	8000		99	5000	5333	
3620	4053	134	0		4	5000	10666		9	5000	8000		99	5000	5333	
3680	4054	133	0		4	5000	10666		9	5000	8000		99	5000	5333	
3740	4055	134	0		4	5000	10666		9	5000	8000		99	5000	5333	
3800	4056	133	0		4	5000	10666		9	5000	8000		99	5000	5333	
3890	4057	134	0		4	5000	10666		9	5000	8000		99	5000	5333	
3920	4058	133	0		8	5000	10666		12	5000	8000		99	5000	5333	
4070	4059	134	0		8	5000	10666		12	5000	8000		99	5000	5333	
4100	4060	133	0		8	5000	10666		12	5000	8000		99	5000	5333	
4190	4061	135	0		8	5000	10666		12	5000	8000		99	5000	5333	
4220	4062	136	0		4	5000	10666		9	5000	8000		99	5000	5333	
4280	4063	135	0		4	5000	10666		9	5000	8000		99	5000	5333	
4340	4064	136	0		8	5000	10666		12	5000	8000		99	5000	5333	
4370	4065	135	0		4	5000	10666		9	5000	8000		99	5000	5333	
4400	4066	136	0		8	5000	10666		12	5000	8000		99	5000	5333	
4490	4067	135	0		8	5000	10666		12	5000	8000		99	5000	5333	
4520	4068	136	0		4	5000	10666		9	5000	8000		99	5000	5333	
4580	4069	135	0		8	5000	10666		12	5000	8000		99	5000	5333	
4640	4070	136	0		4	5000	10666		9	5000	8000		99	5000	5333	
4670	4071	135	0		4	5000	10666		9	5000	8000		99	5000	5333	
4700	4072	136	0		8	5000	10666		12	5000	8000		99	5000	5333	
4790	4073	135	0		4	5000	10666		9	5000	8000		99	5000	5333	
4880	4074	136	0		8	5000	10666		12	5000	8000		99	5000	5333	
4970	4075	135	0		4	5000	10666		9	5000	8000		99	5000	5333	
5000	4076	136	0		4	5000	10666		9	5000	8000		99	5000	5333	
5060	4077	135	0		8	5000	10666		12	5000	8000		99	5000	5333	
5090	4078	136	0		4	5000	10666		9	5000	8000		99	5000	5333	
5180	4079	135	0		8	5000	10666		12	5000	8000		99	5000	5333	
5210	4080	101	0		8	5000	10666		12	5000	8000		99	5000	5333	
5270	4081	102	0		8	5000	10666		12	5000	8000		99	5000	5333	
5300	4082	101	0		4	5000	10666		9	5000	8000		99	5000	5333	
5360	4083	137	0		8	5000	10666		12	5000	8000		99	5000	5333	
5420	4084	138	0		8	5000	10666		12	5000	8000		99	5000	5333	
5450	4085	137	0		8	5000	10666		12	5000	8000		99	5000	5333	
5570	4086	126	0		8	5000	10666		12	5000	8000		99	5000	5333	
5600	4087	127	0		8	5000	10666		12	5000	8000		99	5000	5333	
5660	4088	128	0		8	5000	10666		12	5000	8000		99	5000	5333	
