rewardId	rewardType	rangeId	levelRange	itemIndex	rateValue	item	isPrecious
奖励ID	奖励类型(1-大厅充值奖励次数 2-大厅邀请好友奖励次数 3-大厅在线奖励次数 4-非大厅的充值奖励次数)	等级区段ID	 等级区段	物品索引	随机概率	奖励物品(coding,cnt)	是否珍惜物品
1	1	1	[30,59]	1	400	(27108,1)	1
2	1	1	[30,59]	2	400	(26042,1)	1
3	1	1	[30,59]	3	1000	(26044,1)	0
4	1	1	[30,59]	4	600	(26026,1)	0
5	1	1	[30,59]	5	1000	(25600,10)	0
6	1	1	[30,59]	6	1000	(26344,10)	0
7	1	1	[30,59]	7	1000	(26925,2)	0
8	1	1	[30,59]	8	1000	(26924,2)	0
9	1	1	[30,59]	9	1000	(27370,1)	1
10	1	1	[30,59]	10	200	(27371,1)	1
11	1	1	[30,59]	11	50	(25774,1)	1
12	1	1	[30,59]	12	0	(27375,1)	0
13	1	2	[60,79]	1	1000	(26267,1)	0
14	1	2	[60,79]	2	500	(26227,1)	1
15	1	2	[60,79]	3	1200	(26044,1)	0
16	1	2	[60,79]	4	600	(26026,1)	0
17	1	2	[60,79]	5	600	(26144,10)	0
18	1	2	[60,79]	6	600	(25837,10)	0
19	1	2	[60,79]	7	1000	(26934,3)	0
20	1	2	[60,79]	8	1000	(26479,5)	0
21	1	2	[60,79]	9	1000	(27370,1)	1
22	1	2	[60,79]	10	200	(27371,1)	1
23	1	2	[60,79]	11	50	(25781,1)	1
24	1	2	[60,79]	12	0	(27375,1)	0
25	1	3	[80,179]	1	1000	(26267,1)	0
26	1	3	[80,179]	2	500	(26227,1)	1
27	1	3	[80,179]	3	1200	(26044,1)	0
28	1	3	[80,179]	4	600	(26026,1)	0
29	1	3	[80,179]	5	600	(26144,10)	0
30	1	3	[80,179]	6	600	(25837,10)	0
31	1	3	[80,179]	7	1000	(26934,3)	0
32	1	3	[80,179]	8	1000	(26298,1)	0
33	1	3	[80,179]	9	1000	(27370,1)	1
34	1	3	[80,179]	10	200	(27371,1)	1
35	1	3	[80,179]	11	40	(25788,1)	1
36	1	3	[80,179]	12	0	(27375,1)	0
37	2	1	[30,59]	1	400	(27108,1)	1
38	2	1	[30,59]	2	400	(26042,1)	1
39	2	1	[30,59]	3	1400	(26044,1)	0
40	2	1	[30,59]	4	0	(26026,1)	0
41	2	1	[30,59]	5	1000	(25600,10)	0
42	2	1	[30,59]	6	1000	(26344,10)	0
43	2	1	[30,59]	7	1000	(26925,2)	0
44	2	1	[30,59]	8	1000	(26924,2)	0
45	2	1	[30,59]	9	500	(27370,1)	1
46	2	1	[30,59]	10	100	(27371,1)	1
47	2	1	[30,59]	11	0	(25774,1)	0
48	2	1	[30,59]	12	0	(27375,1)	0
49	2	2	[60,79]	1	1200	(26267,1)	0
50	2	2	[60,79]	2	0	(26227,1)	0
51	2	2	[60,79]	3	1800	(26044,1)	0
52	2	2	[60,79]	4	0	(26026,1)	0
53	2	2	[60,79]	5	600	(26144,10)	0
54	2	2	[60,79]	6	600	(25837,10)	0
55	2	2	[60,79]	7	0	(26934,3)	0
56	2	2	[60,79]	8	1000	(26479,5)	0
57	2	2	[60,79]	9	500	(27370,1)	1
58	2	2	[60,79]	10	100	(27371,1)	1
59	2	2	[60,79]	11	0	(25781,1)	0
60	2	2	[60,79]	12	0	(27375,1)	0
61	2	3	[80,179]	1	1200	(26267,1)	0
62	2	3	[80,179]	2	0	(26227,1)	0
63	2	3	[80,179]	3	1800	(26044,1)	0
64	2	3	[80,179]	4	0	(26026,1)	0
65	2	3	[80,179]	5	600	(26144,10)	0
66	2	3	[80,179]	6	600	(25837,10)	0
67	2	3	[80,179]	7	0	(26934,3)	0
68	2	3	[80,179]	8	1000	(26298,1)	0
69	2	3	[80,179]	9	500	(27370,1)	1
70	2	3	[80,179]	10	100	(27371,1)	1
71	2	3	[80,179]	11	0	(25788,1)	0
72	2	3	[80,179]	12	0	(27375,1)	0
73	3	1	[30,59]	1	400	(27108,1)	1
74	3	1	[30,59]	2	400	(26042,1)	1
75	3	1	[30,59]	3	1400	(26044,1)	0
76	3	1	[30,59]	4	0	(26026,1)	0
77	3	1	[30,59]	5	1000	(25600,10)	0
78	3	1	[30,59]	6	1000	(26344,10)	0
79	3	1	[30,59]	7	1000	(26925,2)	0
80	3	1	[30,59]	8	1000	(26924,2)	0
81	3	1	[30,59]	9	500	(27370,1)	1
82	3	1	[30,59]	10	100	(27371,1)	1
83	3	1	[30,59]	11	0	(25774,1)	0
84	3	1	[30,59]	12	0	(27375,1)	0
85	3	2	[60,79]	1	1200	(26267,1)	0
86	3	2	[60,79]	2	0	(26227,1)	0
87	3	2	[60,79]	3	1800	(26044,1)	0
88	3	2	[60,79]	4	0	(26026,1)	0
89	3	2	[60,79]	5	600	(26144,10)	0
90	3	2	[60,79]	6	600	(25837,10)	0
91	3	2	[60,79]	7	0	(26934,3)	0
92	3	2	[60,79]	8	1000	(26479,5)	0
93	3	2	[60,79]	9	500	(27370,1)	1
94	3	2	[60,79]	10	100	(27371,1)	1
95	3	2	[60,79]	11	0	(25781,1)	0
96	3	2	[60,79]	12	0	(27375,1)	0
97	3	3	[80,179]	1	1200	(26267,1)	0
98	3	3	[80,179]	2	0	(26227,1)	0
99	3	3	[80,179]	3	1800	(26044,1)	0
100	3	3	[80,179]	4	0	(26026,1)	0
101	3	3	[80,179]	5	600	(26144,10)	0
102	3	3	[80,179]	6	600	(25837,10)	0
103	3	3	[80,179]	7	0	(26934,3)	0
104	3	3	[80,179]	8	1000	(26298,1)	0
105	3	3	[80,179]	9	500	(27370,1)	1
106	3	3	[80,179]	10	100	(27371,1)	1
107	3	3	[80,179]	11	0	(25788,1)	0
108	3	3	[80,179]	12	0	(27375,1)	0
109	4	1	[30,59]	1	400	(27108,1)	1
110	4	1	[30,59]	2	400	(26042,1)	1
111	4	1	[30,59]	3	1000	(26044,1)	0
112	4	1	[30,59]	4	600	(26026,1)	0
113	4	1	[30,59]	5	1000	(25600,10)	0
114	4	1	[30,59]	6	1000	(26344,10)	0
115	4	1	[30,59]	7	1000	(26925,2)	0
116	4	1	[30,59]	8	1000	(26924,2)	0
117	4	1	[30,59]	9	1000	(26450,2)	0
118	4	1	[30,59]	10	1000	(27370,1)	1
119	4	1	[30,59]	11	200	(27371,1)	1
120	4	1	[30,59]	12	50	(25774,1)	1
121	4	2	[60,79]	1	1000	(26267,1)	0
122	4	2	[60,79]	2	500	(26227,1)	1
123	4	2	[60,79]	3	1200	(26044,1)	0
124	4	2	[60,79]	4	600	(26026,1)	0
125	4	2	[60,79]	5	600	(26144,10)	0
126	4	2	[60,79]	6	600	(25837,10)	0
127	4	2	[60,79]	7	1000	(26933,3)	0
128	4	2	[60,79]	8	1000	(26934,3)	0
129	4	2	[60,79]	9	1000	(26479,5)	0
130	4	2	[60,79]	10	1000	(27370,1)	1
131	4	2	[60,79]	11	200	(27371,1)	1
132	4	2	[60,79]	12	50	(25781,1)	1
133	4	3	[80,179]	1	1000	(26267,1)	0
134	4	3	[80,179]	2	500	(26227,1)	1
135	4	3	[80,179]	3	1200	(26044,1)	0
136	4	3	[80,179]	4	600	(26026,1)	0
137	4	3	[80,179]	5	600	(26144,10)	0
138	4	3	[80,179]	6	600	(25837,10)	0
139	4	3	[80,179]	7	1000	(26933,3)	0
140	4	3	[80,179]	8	1000	(26934,3)	0
141	4	3	[80,179]	9	1000	(26298,1)	0
142	4	3	[80,179]	10	1000	(27370,1)	1
143	4	3	[80,179]	11	200	(27371,1)	1
144	4	3	[80,179]	12	40	(25788,1)	1
