goodsId	startTime	endTime	needLevel
商品ID	图标显示开始时间	图标显示结束时间	开启需要等级
1	2014,11,17,0,0,0	2014,11,20,23,59,59	20
2	2014,11,28,0,0,0	2014,11,28,23,59,59	20
3	2014,12,5,0,0,0	2014,12,11,23,59,59	30
4	2014,12,12,0,0,0	2015,1,6,23,59,59	30
5	2015,1,9,0,0,0	2015,1,15,23,59,59	30
6	2015,1,16,0,0,0	2015,1,22,23,59,59	30
7	2015,1,23,0,0,0	2015,2,5,23,59,59	30
8	2015,2,6,0,0,0	2015,2,12,23,59,59	30
9	2015,2,20,0,0,0	2015,3,5,23,59,59	30
10	2015,2,14,0,0,0	2015,2,15,23,59,59	30
11	2015,3,6,0,0,0	2015,3,12,23,59,59	30
12	2015,3,14,0,0,0	2015,3,14,23,59,59	30
13	2015,4,10,0,0,0	2015,4,16,23,59,59	30
14	2015,5,1,0,0,0	2015,5,7,23,59,59	30
15	2015,5,12,0,0,0	2015,5,14,23,59,59	30
16	2015,6,5,0,0,0	2015,6,7,23,59,59	30
17	2015,6,8,0,0,0	2015,6,11,23,59,59	30
18	2015,6,12,0,0,0	2015,6,18,23,59,59	30
19	2015,6,29,0,0,0	2015,6,30,23,59,59	30
20	2015,7,3,0,0,0	2015,7,9,23,59,59	30
21	2015,7,10,0,0,0	2015,7,23,23,59,59	30
22	2015,7,24,0,0,0	2015,7,31,23,59,59	30
23	2015,8,7,0,0,0	2015,8,20,23,59,59	30
24	2015,9,7,0,0,0	2015,9,10,23,59,59	30
25	2015,9,14,0,0,0	2015,9,17,23,59,59	30
26	2015,9,18,0,0,0	2015,9,24,23,59,59	30
27	2015,9,25,0,0,0	2015,10,15,23,59,59	30
28	2015,10,18,0,0,0	2015,10,29,23,59,59	30
29	2015,10,30,0,0,0	2015,10,31,23,59,59	30
30	2015,11,2,0,0,0	2015,11,3,23,59,59	30
31	2015,11,6,0,0,0	2015,11,7,23,59,59	30
32	2015,11,10,0,0,0	2015,11,11,23,59,59	30
33	2016,1,10,0,0,0	2016,1,12,23,59,59	30
34	2016,1,15,0,0,0	2016,1,17,23,59,59	30
35	2016,2,19,0,0,0	2016,2,21,23,59,59	30
36	2016,2,12,12,0,0	2016,2,14,23,59,59	30
