tableIndex	minLevel	maxLevel	grade	rate	rewardItems	Items	rewardUnbindRMB_S_Percent	isRumor	isRare
索引	最小等级	最大等级	档次	概率	奖励道具(服务端）	奖励道具（客户端）	系统神石（奖池百分比）	是否广播（广播的都记录）	是否稀有（1-稀有， 0-不稀有）
1	30	59	4	0	()	(28612, 1)	25	1	0
2	30	59	0	260	(27108, 1)	(27108, 1)	0	0	0
3	30	59	0	1525	(25600, 5)	(25600, 5)	0	0	0
4	30	59	0	40	(28652, 1)	(28652, 1)	0	1	0
5	30	59	2	6	()	(28610, 1)	5	1	0
6	30	59	0	800	(28653, 1)	(28653, 1)	0	0	0
7	30	59	0	650	(25600, 10)	(25600, 10)	0	0	0
8	30	59	0	1525	(26344, 5)	(26344, 5)	0	0	0
9	30	59	3	2	()	(28611, 1)	10	1	0
10	30	59	0	1300	(28654, 1)	(28654, 1)	0	0	0
11	30	59	0	650	(27566, 1)	(27566, 1)	0	0	0
12	30	59	0	650	(26344, 10)	(26344, 10)	0	0	0
13	30	59	1	35	()	(28609, 1)	1	1	0
14	30	59	0	1517	(26450, 1)	(26450, 1)	0	0	0
15	30	59	0	650	(27517, 1)	(27517, 1)	0	0	0
16	30	59	0	390	(27850, 1)	(27850, 1)	0	0	0
1	60	79	4	0	()	(28612, 1)	25	1	0
2	60	79	0	720	(28655, 1)	(28655, 1)	0	0	0
3	60	79	0	900	(28656, 1)	(28656, 1)	0	0	0
4	60	79	0	900	(28658, 1)	(28658, 1)	0	0	0
5	60	79	2	6	()	(28610, 1)	5	1	0
6	60	79	0	5	(28657, 1)	(28657, 1)	0	1	1
7	60	79	0	220	(26042, 1)	(26042, 1)	0	0	0
8	60	79	0	360	(27518, 1)	(27518, 1)	0	0	0
9	60	79	3	2	()	(28611, 1)	10	1	0
10	60	79	0	900	(28659, 1)	(28659, 1)	0	0	0
11	60	79	0	1662	(28661, 1)	(28661, 1)	0	0	0
12	60	79	0	1650	(26450, 1)	(26450, 1)	0	0	0
13	60	79	1	35	()	(28609, 1)	1	1	0
14	60	79	0	900	(28660, 1)	(28660, 1)	0	0	0
15	60	79	0	1380	(28654, 1)	(28663, 1)	0	0	0
16	60	79	0	360	(27621, 1)	(27621, 1)	0	0	0
1	80	99	4	0	()	(28612, 1)	25	1	0
2	80	99	0	80	(28642, 1)	(28642, 1)	0	0	0
3	80	99	0	700	(28662, 1)	(28662, 1)	0	0	0
4	80	99	0	50	(28353, 1)	(28353, 1)	0	0	0
5	80	99	2	6	()	(28610, 1)	5	1	0
6	80	99	0	1	(26439, 1)	(26439, 1)	0	1	0
7	80	99	0	500	(28035, 1)	(28035, 1)	0	0	0
8	80	99	0	2712	(28649, 1)	(28649, 1)	0	0	0
9	80	99	3	2	()	(28611, 1)	10	1	0
10	80	99	0	40	(28643, 1)	(28643, 1)	0	1	0
11	80	99	0	200	(28663, 1)	(28663, 1)	0	0	0
12	80	99	0	3000	(28647, 1)	(28647, 1)	0	0	0
13	80	99	1	35	()	(28609, 1)	1	1	0
14	80	99	0	1	(28664, 1)	(28664, 1)	0	1	1
15	80	99	0	2493	(28654, 1)	(28654, 1)	0	0	0
16	80	99	0	180	(28651, 1)	(28651, 1)	0	0	0
1	100	119	4	0	()	(28612, 1)	25	1	0
2	100	119	0	80	(28642, 1)	(28642, 1)	0	0	0
3	100	119	0	3605	(26307, 10)	(26307, 10)	0	0	0
4	100	119	0	50	(28353, 1)	(28353, 1)	0	0	0
5	100	119	2	6	()	(28610, 1)	5	1	0
6	100	119	0	1	(26439, 1)	(26439, 1)	0	1	0
7	100	119	0	500	(28648, 1)	(28648, 1)	0	0	0
8	100	119	0	2000	(28649, 1)	(28649, 1)	0	0	0
9	100	119	3	2	()	(28611, 1)	10	1	0
10	100	119	0	40	(28643, 1)	(28643, 1)	0	1	0
11	100	119	0	1000	(26328, 5)	(26328, 5)	0	0	0
12	100	119	0	1000	(28647, 1)	(28647, 1)	0	0	0
13	100	119	1	35	()	(28609, 1)	1	1	0
14	100	119	0	1	(28664, 1)	(28664, 1)	0	1	1
15	100	119	0	1500	(28650, 1)	(28650, 1)	0	0	0
16	100	119	0	180	(28651, 1)	(28651, 1)	0	0	0
1	120	999	4	0	()	(28612, 1)	25	1	0
2	120	999	0	80	(28642, 1)	(28642, 1)	0	0	0
3	120	999	0	3605	(26307, 10)	(26307, 10)	0	0	0
4	120	999	0	50	(28646, 1)	(28646, 1)	0	0	0
5	120	999	2	6	()	(28610, 1)	5	1	0
6	120	999	0	1	(26439, 1)	(26439, 1)	0	1	0
7	120	999	0	500	(28648, 1)	(28648, 1)	0	0	0
8	120	999	0	2000	(28649, 1)	(28649, 1)	0	0	0
9	120	999	3	2	()	(28611, 1)	10	1	0
10	120	999	0	40	(28643, 1)	(28643, 1)	0	1	0
11	120	999	0	1000	(26328, 5)	(26328, 5)	0	0	0
12	120	999	0	1000	(28647, 1)	(28647, 1)	0	0	0
13	120	999	1	35	()	(28609, 1)	1	1	0
14	120	999	0	1	(28664, 1)	(28664, 1)	0	1	1
15	120	999	0	1500	(28650, 1)	(28650, 1)	0	0	0
16	120	999	0	180	(28651, 1)	(28651, 1)	0	0	0
