godId	godName	npcType	godCampId	rewardMoney	rewardMoney_fcm	rewardItemList	rewardItemList_fcm
魔神ID	魔神名	显示的NPC外观类型	魔神阵营ID	通关金币奖励	通关金币奖励	通关物品奖励	通关物品奖励
1	魔·天空射手	3009	7001	0	0	[(25638,10)]	[(25638,5)]
2	神·天空射手	3011	7002	100000	50000	[(25638,10),(25681,10)]	[(25638,5),(25681,5)]
3	魔·太阳神	3013	7003	200000	100000	[(25638,20),(25681,20)]	[(25638,10),(25681,10)]
4	神·太阳神	3015	7004	300000	150000	[(25639,20),(25681,30)]	[(25639,10),(25681,15)]
5	魔·死神	3017	7005	300000	150000	[(25639,20),(25681,40)]	[(25639,10),(25681,20)]
6	神·死神	3019	7006	300000	150000	[(25639,20),(25682,20)]	[(25639,10),(25682,10)]
7	魔·血族剑姬	3021	7007	400000	200000	[(25640,10),(25682,30)]	[(25640,5),(25682,15)]
8	神·血族剑姬	3023	7008	400000	200000	[(25640,10),(25682,40)]	[(25640,5),(25682,20)]
9	魔·海盗船长	3025	7009	500000	250000	[(25641,10),(25683,30)]	[(25641,5),(25683,15)]
10	神·海盗船长	3027	7010	500000	250000	[(25641,10),(25683,40)]	[(25641,5),(25683,20)]
11	魔·战争之王	3029	7011	600000	300000	[(25641,10),(25684,50)]	[(25641,5),(25683,25)]
12	神·战争之王	3031	7012	600000	300000	[(25641,10),(25684,60)]	[(25641,5),(25683,30)]
