boxType	level	money	money_fcm
宝箱类型	等级	金币	金币防沉迷
1	32	1000000	500000
1	33	1000000	500000
1	34	1000000	500000
1	35	1000000	500000
1	36	1000000	500000
1	37	1000000	500000
1	38	1000000	500000
1	39	1000000	500000
1	40	2000000	1000000
1	41	2000000	1000000
1	42	2000000	1000000
1	43	2000000	1000000
1	44	2000000	1000000
1	45	2000000	1000000
1	46	2000000	1000000
1	47	2000000	1000000
1	48	2000000	1000000
1	49	2000000	1000000
1	50	2000000	1000000
1	51	2000000	1000000
1	52	2000000	1000000
1	53	2000000	1000000
1	54	2000000	1000000
1	55	2000000	1000000
1	56	2000000	1000000
1	57	2000000	1000000
1	58	2000000	1000000
1	59	2000000	1000000
1	60	4000000	2000000
1	61	4000000	2000000
1	62	4000000	2000000
1	63	4000000	2000000
1	64	4000000	2000000
1	65	4000000	2000000
1	66	4000000	2000000
1	67	4000000	2000000
1	68	4000000	2000000
1	69	4000000	2000000
1	70	4000000	2000000
1	71	4000000	2000000
1	72	4000000	2000000
1	73	4000000	2000000
1	74	4000000	2000000
1	75	4000000	2000000
1	76	4000000	2000000
1	77	4000000	2000000
1	78	4000000	2000000
1	79	4000000	2000000
1	80	8000000	4000000
1	81	8000000	4000000
1	82	8000000	4000000
1	83	8000000	4000000
1	84	8000000	4000000
1	85	8000000	4000000
1	86	8000000	4000000
1	87	8000000	4000000
1	88	8000000	4000000
1	89	8000000	4000000
1	90	8000000	4000000
1	91	8000000	4000000
1	92	8000000	4000000
1	93	8000000	4000000
1	94	8000000	4000000
1	95	8000000	4000000
1	96	8000000	4000000
1	97	8000000	4000000
1	98	8000000	4000000
1	99	8000000	4000000
1	100	12000000	6000000
1	101	12000000	6000000
1	102	12000000	6000000
1	103	12000000	6000000
1	104	12000000	6000000
1	105	12000000	6000000
1	106	12000000	6000000
1	107	12000000	6000000
1	108	12000000	6000000
1	109	12000000	6000000
1	110	12000000	6000000
1	111	12000000	6000000
1	112	12000000	6000000
1	113	12000000	6000000
1	114	12000000	6000000
1	115	12000000	6000000
1	116	12000000	6000000
1	117	12000000	6000000
1	118	12000000	6000000
1	119	12000000	6000000
1	120	16000000	8000000
1	121	16000000	8000000
1	122	16000000	8000000
1	123	16000000	8000000
1	124	16000000	8000000
1	125	16000000	8000000
1	126	16000000	8000000
1	127	16000000	8000000
1	128	16000000	8000000
1	129	16000000	8000000
1	130	16000000	8000000
1	131	16000000	8000000
1	132	16000000	8000000
1	133	16000000	8000000
1	134	16000000	8000000
1	135	16000000	8000000
1	136	16000000	8000000
1	137	16000000	8000000
1	138	16000000	8000000
1	139	16000000	8000000
1	140	20000000	10000000
1	141	20000000	10000000
1	142	20000000	10000000
1	143	20000000	10000000
1	144	20000000	10000000
1	145	20000000	10000000
1	146	20000000	10000000
1	147	20000000	10000000
1	148	20000000	10000000
1	149	20000000	10000000
1	150	20000000	10000000
1	151	20000000	10000000
1	152	20000000	10000000
1	153	20000000	10000000
1	154	20000000	10000000
1	155	20000000	10000000
1	156	20000000	10000000
1	157	20000000	10000000
1	158	20000000	10000000
1	159	20000000	10000000
1	160	20000000	10000000
1	161	20000000	10000000
1	162	20000000	10000000
1	163	20000000	10000000
1	164	20000000	10000000
1	165	20000000	10000000
1	166	20000000	10000000
1	167	20000000	10000000
1	168	20000000	10000000
1	169	20000000	10000000
1	170	20000000	10000000
1	171	20000000	10000000
1	172	20000000	10000000
1	173	20000000	10000000
1	174	20000000	10000000
1	175	20000000	10000000
1	176	20000000	10000000
1	177	20000000	10000000
1	178	20000000	10000000
1	179	20000000	10000000
2	33	500000	250000
2	34	500000	250000
2	35	500000	250000
2	36	500000	250000
2	37	500000	250000
2	38	500000	250000
2	39	500000	250000
2	40	1000000	500000
2	41	1000000	500000
2	42	1000000	500000
2	43	1000000	500000
2	44	1000000	500000
2	45	1000000	500000
2	46	1000000	500000
2	47	1000000	500000
2	48	1000000	500000
2	49	1000000	500000
2	50	1000000	500000
2	51	1000000	500000
2	52	1000000	500000
2	53	1000000	500000
2	54	1000000	500000
2	55	1000000	500000
2	56	1000000	500000
2	57	1000000	500000
2	58	1000000	500000
2	59	1000000	500000
2	60	2000000	1000000
2	61	2000000	1000000
2	62	2000000	1000000
2	63	2000000	1000000
2	64	2000000	1000000
2	65	2000000	1000000
2	66	2000000	1000000
2	67	2000000	1000000
2	68	2000000	1000000
2	69	2000000	1000000
2	70	2000000	1000000
2	71	2000000	1000000
