boxType	level	money	itemList	money_fcm	itemList_fcm
箱子类型	等级	金币	物品	金币防沉迷	物品防沉迷
1	32	300000	[(25681,15)]	150000	[(25681,8)]
1	33	300000	[(25681,15)]	150000	[(25681,8)]
1	34	300000	[(25681,15)]	150000	[(25681,8)]
1	35	300000	[(25681,15)]	150000	[(25681,8)]
1	36	300000	[(25681,15)]	150000	[(25681,8)]
1	37	300000	[(25681,15)]	150000	[(25681,8)]
1	38	300000	[(25681,15)]	150000	[(25681,8)]
1	39	300000	[(25681,15)]	150000	[(25681,8)]
1	40	500000	[(25681,100)]	250000	[(25681,50)]
1	41	500000	[(25681,100)]	250000	[(25681,50)]
1	42	500000	[(25681,100)]	250000	[(25681,50)]
1	43	500000	[(25681,100)]	250000	[(25681,50)]
1	44	500000	[(25681,100)]	250000	[(25681,50)]
1	45	500000	[(25681,100)]	250000	[(25681,50)]
1	46	500000	[(25681,100)]	250000	[(25681,50)]
1	47	500000	[(25681,100)]	250000	[(25681,50)]
1	48	500000	[(25681,100)]	250000	[(25681,50)]
1	49	500000	[(25681,100)]	250000	[(25681,50)]
1	50	500000	[(25681,100)]	250000	[(25681,50)]
1	51	500000	[(25681,100)]	250000	[(25681,50)]
1	52	500000	[(25681,100)]	250000	[(25681,50)]
1	53	500000	[(25681,100)]	250000	[(25681,50)]
1	54	500000	[(25681,100)]	250000	[(25681,50)]
1	55	500000	[(25681,100)]	250000	[(25681,50)]
1	56	500000	[(25681,100)]	250000	[(25681,50)]
1	57	500000	[(25681,100)]	250000	[(25681,50)]
1	58	500000	[(25681,100)]	250000	[(25681,50)]
1	59	500000	[(25681,100)]	250000	[(25681,50)]
1	60	1000000	[(25682,120),(25666,100)]	500000	[(25682,60),(25666,50)]
1	61	1000000	[(25682,120),(25666,100)]	500000	[(25682,60),(25666,50)]
1	62	1000000	[(25682,120),(25666,100)]	500000	[(25682,60),(25666,50)]
1	63	1000000	[(25682,120),(25666,100)]	500000	[(25682,60),(25666,50)]
1	64	1000000	[(25682,120),(25666,100)]	500000	[(25682,60),(25666,50)]
1	65	1000000	[(25682,120),(25666,100)]	500000	[(25682,60),(25666,50)]
1	66	1000000	[(25682,120),(25666,100)]	500000	[(25682,60),(25666,50)]
1	67	1000000	[(25682,120),(25666,100)]	500000	[(25682,60),(25666,50)]
1	68	1000000	[(25682,120),(25666,100)]	500000	[(25682,60),(25666,50)]
1	69	1000000	[(25682,120),(25666,100)]	500000	[(25682,60),(25666,50)]
1	70	1000000	[(25682,120),(25666,100)]	500000	[(25682,60),(25666,50)]
1	71	1000000	[(25682,120),(25666,100)]	500000	[(25682,60),(25666,50)]
1	72	1000000	[(25682,120),(25666,100)]	500000	[(25682,60),(25666,50)]
1	73	1000000	[(25682,120),(25666,100)]	500000	[(25682,60),(25666,50)]
1	74	1000000	[(25682,120),(25666,100)]	500000	[(25682,60),(25666,50)]
1	75	1000000	[(25682,120),(25666,100)]	500000	[(25682,60),(25666,50)]
1	76	1000000	[(25682,120),(25666,100)]	500000	[(25682,60),(25666,50)]
1	77	1000000	[(25682,120),(25666,100)]	500000	[(25682,60),(25666,50)]
1	78	1000000	[(25682,120),(25666,100)]	500000	[(25682,60),(25666,50)]
1	79	1000000	[(25682,120),(25666,100)]	500000	[(25682,60),(25666,50)]
1	80	2000000	[(25683,240),(25667,200)]	1000000	[(25683,120),(25667,100)]
1	81	2000000	[(25683,240),(25667,200)]	1000000	[(25683,120),(25667,100)]
1	82	2000000	[(25683,240),(25667,200)]	1000000	[(25683,120),(25667,100)]
1	83	2000000	[(25683,240),(25667,200)]	1000000	[(25683,120),(25667,100)]
1	84	2000000	[(25683,240),(25667,200)]	1000000	[(25683,120),(25667,100)]
1	85	2000000	[(25683,240),(25667,200)]	1000000	[(25683,120),(25667,100)]
1	86	2000000	[(25683,240),(25667,200)]	1000000	[(25683,120),(25667,100)]
1	87	2000000	[(25683,240),(25667,200)]	1000000	[(25683,120),(25667,100)]
1	88	2000000	[(25683,240),(25667,200)]	1000000	[(25683,120),(25667,100)]
1	89	2000000	[(25683,240),(25667,200)]	1000000	[(25683,120),(25667,100)]
1	90	2000000	[(25683,240),(25667,200)]	1000000	[(25683,120),(25667,100)]
1	91	2000000	[(25683,240),(25667,200)]	1000000	[(25683,120),(25667,100)]
1	92	2000000	[(25683,240),(25667,200)]	1000000	[(25683,120),(25667,100)]
1	93	2000000	[(25683,240),(25667,200)]	1000000	[(25683,120),(25667,100)]
1	94	2000000	[(25683,240),(25667,200)]	1000000	[(25683,120),(25667,100)]
1	95	2000000	[(25683,240),(25667,200)]	1000000	[(25683,120),(25667,100)]
1	96	2000000	[(25683,240),(25667,200)]	1000000	[(25683,120),(25667,100)]
1	97	2000000	[(25683,240),(25667,200)]	1000000	[(25683,120),(25667,100)]
1	98	2000000	[(25683,240),(25667,200)]	1000000	[(25683,120),(25667,100)]
1	99	2000000	[(25683,240),(25667,200)]	1000000	[(25683,120),(25667,100)]
1	100	3000000	[(25684,360),(25668,300)]	1500000	[(25684,180),(25668,150)]
1	101	3000000	[(25684,360),(25668,300)]	1500000	[(25684,180),(25668,150)]
1	102	3000000	[(25684,360),(25668,300)]	1500000	[(25684,180),(25668,150)]
1	103	3000000	[(25684,360),(25668,300)]	1500000	[(25684,180),(25668,150)]
1	104	3000000	[(25684,360),(25668,300)]	1500000	[(25684,180),(25668,150)]
