level	levelUpNeedExp	population
公会等级	升级需要的经验	人口
1	15000	50
2	20000	53
3	50000	56
4	60000	59
5	62000	62
6	64000	65
7	99000	68
8	102000	71
9	105000	74
10	120000	77
11	164000	80
12	168000	83
13	172000	86
14	176000	89
15	270000	92
16	276000	95
17	329000	98
18	336000	101
19	392000	104
20	450000	107
21	528000	110
22	600000	113
23	672000	116
24	780000	119
25	888000	122
26	1080000	125
27	1272000	128
28	1600000	131
29	1928000	134
30	2256000	137
31	2584000	138
32	2912000	141
33	3240000	144
34	3568000	147
35	3896000	150
36	4224000	153
37	4552000	156
38	4880000	159
39	5208000	162
40	1	165
