level	rightUpRange	wrongDownRange	exploreFactor	rightContribution	rightResource	wrongContribution	wrongResource
玩家等级	正确前进范围	错误后退范围	探索系数	正确奖励贡献	正确奖励公会资源	错误奖励贡献	错误奖励公会资源
1	(6,12)	(4,8)	1	140	120	90	60
2	(6,12)	(4,8)	1	140	120	90	60
3	(6,12)	(4,8)	1	140	120	90	60
4	(6,12)	(4,8)	1	140	120	90	60
5	(6,12)	(4,8)	1	140	120	90	60
6	(6,12)	(4,8)	1	140	120	90	60
7	(6,12)	(4,8)	1	140	120	90	60
8	(6,12)	(4,8)	1	140	120	90	60
9	(6,12)	(4,8)	1	140	120	90	60
10	(6,12)	(4,8)	1	140	120	90	60
11	(6,12)	(4,8)	1	140	120	90	60
12	(6,12)	(4,8)	1	140	120	90	60
13	(6,12)	(4,8)	1	140	120	90	60
14	(6,12)	(4,8)	1	140	120	90	60
15	(6,12)	(4,8)	1	140	120	90	60
16	(6,12)	(4,8)	1	140	120	90	60
17	(6,12)	(4,8)	1	140	120	90	60
18	(6,12)	(4,8)	1	140	120	90	60
19	(6,12)	(4,8)	1	140	120	90	60
20	(6,12)	(4,8)	1	140	120	90	60
21	(6,12)	(4,8)	1	140	120	90	60
22	(6,12)	(4,8)	1	140	120	90	60
23	(6,12)	(4,8)	1	140	120	90	60
24	(6,12)	(4,8)	1	140	120	90	60
25	(6,12)	(4,8)	1	140	120	90	60
26	(6,12)	(4,8)	1	140	120	90	60
27	(6,12)	(4,8)	1	140	120	90	60
28	(6,12)	(4,8)	1	140	120	90	60
29	(6,12)	(4,8)	1	140	120	90	60
30	(6,12)	(4,8)	1	140	120	90	60
31	(6,12)	(4,8)	1	140	120	90	60
32	(6,12)	(4,8)	1	140	120	90	60
33	(6,12)	(4,8)	1	140	120	90	60
34	(6,12)	(4,8)	1	140	120	90	60
35	(6,12)	(4,8)	1	140	120	90	60
36	(6,12)	(4,8)	1	140	120	90	60
37	(6,12)	(4,8)	1	140	120	90	60
38	(6,12)	(4,8)	1	140	120	90	60
39	(6,12)	(4,8)	1	140	120	90	60
40	(6,12)	(4,8)	1	140	120	90	60
41	(6,12)	(4,8)	1	140	120	90	60
42	(6,12)	(4,8)	1	140	120	90	60
43	(6,12)	(4,8)	1	140	120	90	60
44	(6,12)	(4,8)	1	140	120	90	60
45	(6,12)	(4,8)	1	140	120	90	60
46	(6,12)	(4,8)	1	140	120	90	60
47	(6,12)	(4,8)	1	140	120	90	60
48	(6,12)	(4,8)	1	140	120	90	60
49	(6,12)	(4,8)	1	140	120	90	60
50	(6,12)	(4,8)	1	140	120	90	60
51	(6,12)	(4,8)	1	140	120	90	60
52	(6,12)	(4,8)	1	140	120	90	60
53	(6,12)	(4,8)	1	140	120	90	60
54	(6,12)	(4,8)	1	140	120	90	60
