level	needUnionLevel	needUnionResorce
建筑等级 	升级需要的公会等级	升级需要公会资源
0	2	33200
1	2	41300
2	2	49300
3	3	57300
4	3	65300
5	3	73300
6	4	81300
7	4	89300
8	4	97300
9	5	105300
10	5	113400
11	6	121400
12	6	129400
13	7	137400
14	7	145400
15	8	153400
16	8	161400
17	9	169400
18	9	177400
19	10	185400
20	10	193500
21	11	201500
22	11	209500
23	12	217500
24	12	225500
25	13	233500
26	13	241500
27	14	249500
28	14	257500
29	15	265500
30	15	273600
31	16	281600
32	16	289600
33	17	297600
34	17	305600
35	18	313600
36	18	321600
37	19	329600
38	19	337600
39	20	345600
40	20	353700
41	21	361700
42	21	369700
43	22	377700
44	22	385700
45	23	393700
46	23	401700
47	24	409700
48	24	417700
49	25	425800
50	25	0
