idx	level	leveMax	name	roleLevel	maxProcess	needMagicTowerLevel	processPerHour	continueTime	needContriLearn	needMoney	needContriActive	needResorcePerHour	maxhp	attackspeed	anger	attack_p	defense_p	attack_m	defense_m	crit	critpress	antibroken	notbroken	parry	puncture	damageupgrade	damagereduce	icon
技能索引	技能等级	技能最大等级	技能名	玩家学习需要等级	技能研究进度的最大值	技能研究需要的魔法塔等级	每小时增加进度值	技能激活后持续的时间(秒)	学习需要的公会贡献 	学习需要消耗的金币	激活需要的公会贡献 	研究每小时消耗资源	生命(绝对值属性)	攻击速度	怒气	物攻	物防	法攻	法防	暴击	免暴	破防	免破	格挡	破挡	增伤	免伤	技能图标
1	1	50	生命(1级)	30	20	1	10	172800	480	480000	50	1330	120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ghshengming
1	2	50	生命(2级)	30	30	2	10	172800	660	660000	100	1100	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ghshengming
1	3	50	生命(3级)	30	40	3	10	172800	840	840000	150	985	360	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ghshengming
1	4	50	生命(4级)	30	50	4	10	172800	1010	1010000	200	916	480	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ghshengming
1	5	50	生命(5级)	30	60	5	10	172800	1190	1190000	250	870	600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ghshengming
1	6	50	生命(6级)	30	70	6	10	172800	1370	2055000	300	838	720	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ghshengming
1	7	50	生命(7级)	30	80	7	10	172800	1540	2310000	350	813	840	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ghshengming
1	8	50	生命(8级)	30	90	8	10	172800	1720	2580000	400	795	960	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ghshengming
1	9	50	生命(9级)	30	100	9	10	172800	1900	2850000	450	779	1080	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ghshengming
1	10	50	生命(10级)	30	110	10	10	172800	2070	3105000	500	767	1200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ghshengming
1	11	50	生命(11级)	30	120	11	10	172800	2410	4820000	550	756	1440	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ghshengming
1	12	50	生命(12级)	30	130	12	10	172800	2600	5200000	600	747	1680	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ghshengming
1	13	50	生命(13级)	30	140	13	10	172800	2800	5600000	650	740	1920	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ghshengming
1	14	50	生命(14级)	30	150	14	10	172800	2990	5980000	700	733	2160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ghshengming
1	15	50	生命(15级)	30	160	15	10	172800	3180	6360000	750	727	2400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ghshengming
