taskIndex	group	minLevel	maxLevel	rewardContribution	rewardContribution_fcm	rewardResource	rewardResource_fcm	rewardExp	rewardExp_fcm	mf1	mf2	taskName	taskStarName	desc	killNpcId1	killNpcId2	chufa2	chufa3
任务Index	组别	最低等级(大于等于)	最高等级(小于等于)	奖励个人贡献	奖励个人贡献	奖励公会资源	奖励公会资源	奖励经验	奖励经验	怪物战斗数据	怪物战斗数据	任务名字	星级任务名字	任务描述	击杀怪物类型1	击杀怪物类型2	第一个Npc寻路	第二个npc寻路
1	1	32	39	100	50	100	50	5000	2500	15673	0	#C(#ffffff)#I(ChatIcon_Gong,16,16)#C(#00EE00)【公会】危机四伏#n	危机四伏	     #C(#00EE00)击败杀手[{0}/1]	11000	0	#K(npc,16,11000)	0
2	1	32	39	100	50	100	50	5000	2500	15674	15676	#C(#ffffff)#I(ChatIcon_Gong,16,16)#C(#00EE00)【公会】危机四伏#n	危机四伏	     #C(#00EE00)击败刺客[{0}/1]#H     击败护卫 [{1}/1]#H	11001	11003	#K(npc,16,11001)	#K(npc,16,11003)
3	1	32	39	100	50	100	50	5000	2500	15675	15677	#C(#ffffff)#I(ChatIcon_Gong,16,16)#C(#00EE00)【公会】危机四伏#n	危机四伏	     #C(#00EE00)击败女刺客[{0}/1]#H     击败强盗[{1}/1]#H	11002	11004	#K(npc,16,11002)	#K(npc,16,11004)
4	2	40	59	100	50	100	50	8000	4000	15678	0	#C(#ffffff)#I(ChatIcon_Gong,16,16)#C(#00EE00)【公会】夺宝奇兵#n	夺宝奇兵	     #C(#00EE00)击败劫匪[{0}/1]    	11005	0	#K(npc,17,11005)	0
5	2	40	59	100	50	100	50	8000	4000	15679	15681	#C(#ffffff)#I(ChatIcon_Gong,16,16)#C(#00EE00)【公会】夺宝奇兵#n	夺宝奇兵	     #C(#00EE00)击败刺客头领[{0}/1]#H     击败强盗头子[{1}/1]#H	11006	11008	#K(npc,17,11006)	#K(npc,17,11008)
6	2	40	59	100	50	100	50	8000	4000	15680	15682	#C(#ffffff)#I(ChatIcon_Gong,16,16)#C(#00EE00)【公会】夺宝奇兵#n	夺宝奇兵	     #C(#00EE00)击败守卫[{0}/1]#H     击败凶残劫匪[{1}/1]#H	11007	11009	#K(npc,17,11007)	#K(npc,17,11009)
7	3	60	79	100	50	100	50	8000	4000	15683	0	#C(#ffffff)#I(ChatIcon_Gong,16,16)#C(#00EE00)【公会】破解阴谋#n	破解阴谋	     #C(#00EE00)击败暗射手[{0}/1]	11010	0	#K(npc,18,11010)	0
8	3	60	79	100	50	100	50	8000	4000	15684	15686	#C(#ffffff)#I(ChatIcon_Gong,16,16)#C(#00EE00)【公会】破解阴谋#n	破解阴谋	     #C(#00EE00)击败妖姬[{0}/1]#H     击败打手[{1}/1]#H	11011	11013	#K(npc,18,11011)	#K(npc,18,11013)
9	3	60	79	100	50	100	50	8000	4000	15685	15687	#C(#ffffff)#I(ChatIcon_Gong,16,16)#C(#00EE00)【公会】破解阴谋#n	破解阴谋	     #C(#00EE00)击败喽啰[{0}/1]#H     击败光射手[{1}/1]#H	11012	11014	#K(npc,18,11012)	#K(npc,18,11014)
