level	growValue	needExp	description	tili	gold	lyTimes	unionFBBuyCnt	vipText	vipText_US	heroTempleBuyCnt	petLuckyDrawCnt	gve	couplesTimes	twelevePalaceCnt	dragonSoulCnt	DragonDigCnt	DragonLuckyDigCnt	UnionExplorePrisonerCnt	heroShengdianBuyCnt	MoLingDrawCnt
等级	成长值	需要对应的经验才能达标	特权内容	体力	炼金	心魔炼狱复活次数	公会副本购买次数	艺术字	北美艺术字	英灵神殿购买次数	宠物转转乐次数	gve副本购买次数	情缘副本购买次数	勇闯十二宫次数	神龙聚灵次数	购买巨龙宝藏挖宝次数	购买巨龙宝藏幸运挖宝次数	公会战俘可抓数量	英雄圣殿购买次数	魔灵大转盘次数
1	20	0	免费传送	2	4	1	0	VIP_TextV1	VIP_TextV1_US	1	2	0	1	1	4	1	1	2	3	0
2	500	0	免费传送	3	8	1	0	VIP_TextV2	VIP_TextV2_US	2	4	0	1	2	8	2	1	2	6	2
3	1000	0	免费传送	4	12	2	1	VIP_TextV3	VIP_TextV3_US	3	8	1	1	3	12	3	1	3	9	4
4	2000	0	免费传送	4	16	2	1	VIP_TextV4	VIP_TextV4_US	4	12	1	2	4	16	4	2	3	12	8
5	5000	0	免费传送	4	20	2	2	VIP_TextV5	VIP_TextV5_US	5	20	1	2	5	20	5	3	3	15	12
6	10000	0	免费传送	5	50	3	2	VIP_TextV6	VIP_TextV6_US	7	30	1	2	7	25	7	4	4	21	20
7	20000	0	免费传送	5	60	3	3	VIP_TextV7	VIP_TextV7_US	9	40	1	3	10	30	9	5	4	27	30
8	50000	0	免费传送	5	70	3	4	VIP_TextV8	VIP_TextV8_US	11	50	1	3	15	50	11	6	4	33	40
9	100000	0	免费传送	6	100	3	5	VIP_TextV9	VIP_TextV9_US	13	72	1	3	20	75	13	8	5	40	50
10	200000	0	免费传送	6	200	3	6	VIP_TextV10	VIP_TextV10_US	15	100	1	3	30	100	15	10	5	50	72
11	-1	50000	免费传送	6	200	3	6	VIP_TextV10	VIP_TextV10_US	15	100	1	3	30	100	15	10	5	50	100
12	-1	100000	免费传送	6	200	3	6	VIP_TextV10	VIP_TextV10_US	15	100	1	3	30	100	15	10	5	50	100
13	-1	150000	免费传送	6	200	3	6	VIP_TextV10	VIP_TextV10_US	15	100	1	3	30	100	15	10	5	50	100
14	-1	200000	免费传送	6	200	3	6	VIP_TextV10	VIP_TextV10_US	15	100	1	3	30	100	15	10	5	50	100
15	-1	300000	免费传送	6	200	3	6	VIP_TextV10	VIP_TextV10_US	15	100	1	3	30	100	15	10	5	50	100
16	-1	400000	免费传送	6	200	3	6	VIP_TextV10	VIP_TextV10_US	15	100	1	3	30	100	15	10	5	50	100
17	-1	500000	免费传送	6	200	3	6	VIP_TextV10	VIP_TextV10_US	15	100	1	3	30	100	15	10	5	50	100
18	-1	600000	免费传送	6	200	3	6	VIP_TextV10	VIP_TextV10_US	15	100	1	3	30	100	15	10	5	50	100
19	-1	800000	免费传送	6	200	3	6	VIP_TextV10	VIP_TextV10_US	15	100	1	3	30	100	15	10	5	50	100
20	-1	1000000	免费传送	6	200	3	6	VIP_TextV10	VIP_TextV10_US	15	100	1	3	30	100	15	10	5	50	100
