index	desc	beLongGZ	type	wenzi	times
索引	描述	所属贵族功能	类型（客户端用）	按钮名字（客户端用）	次数显示（客户端用）
1	#B#S(14)#C(#4dcced)1、英雄祭坛普通召唤8折优惠#n#n#n	1	jtjx	捐献	
2	#B#S(14)#C(#4dcced)2、贵族商城开启贵族优惠大礼包(1)#n#n#n	1			
3	#S(12)#C(#ccbb7e)3、每日可进行幸运转盘次数1#n#n	1	jtzz	种植	
4	#S(12)#C(#ccbb7e)4、每日可购买体力次数2#n#n	1	jyfb_kszd	打开	
5	#S(12)#C(#ccbb7e)5、每日可进行炼金次数4#n#n	1			
6	#S(12)#C(#ccbb7e)6、每日可购买副本次数1#n#n	1	ylsd	购买	3
7	#S(12)#C(#ccbb7e)7、每日可购买英灵神殿行动力次数1#n#n	1			
8	#S(12)#C(#ccbb7e)8、背包格数50#n#n	1	tili	购买	
9	#S(12)#C(#ccbb7e)9、每日可额外购买情缘副本挑战次数1#n#n	1			
10	#B#S(14)#C(#4dcced)1、日常任务立即完成#n#n#n	2			
11	#B#S(14)#C(#4dcced)2、英灵神殿可扫荡#n#n#n	2	jtjx	捐献	
12	#B#S(14)#C(#4dcced)3、贵族商城开启贵族优惠大礼包(2)#n#n#n	2	jtzz	种植	
13	#S(12)#C(#ccbb7e)4、英雄祭坛普通召唤8折优惠#n#n	2	lt_kspt	爬塔	
14	#S(12)#C(#ccbb7e)5、每日可进行幸运转盘次数2#n#n	2	jyfb_cz	打开	3
15	#S(12)#C(#ccbb7e)6、每日可购买体力次数3#n#n	2	zb_yjzb	占卜	
16	#S(12)#C(#ccbb7e)7、每日可进行炼金次数8#n#n	2	gold	炼金	
17	#S(12)#C(#ccbb7e)8、每日可购买副本次数2#n#n	2	tili	购买	
18	#S(12)#C(#ccbb7e)9、每日可购买英灵神殿行动力次数2#n#n	2			
19	#S(12)#C(#ccbb7e)10、背包格数50#n#n	2	jtzz	种植	
20	#S(12)#C(#ccbb7e)11、每日可额外购买情缘副本挑战次数1#n#n	2			
21	#B#S(14)#C(#4dcced)1、高级占卜#n#n#n	3			
22	#B#S(14)#C(#4dcced)2、心魔炼狱可额外购买复活次数1#n#n#n	3	lt_cz	重置	1
23	#B#S(14)#C(#4dcced)3、每日可购买公会副本行动力次数1#n#n#n	3	gold	炼金	
24	#B#S(14)#C(#4dcced)4、贵族商城开启贵族优惠大礼包(3)#n#n#n	3	tili	购买	
25	#S(12)#C(#ccbb7e)5、日常任务立即完成#n#n	3			
26	#S(12)#C(#ccbb7e)6、英雄祭坛普通召唤8折优惠#n#n	3	zb_cs	占卜	1
27	#S(12)#C(#ccbb7e)7、英灵神殿可扫荡#n#n	3	lt_zdpt	重置	1
28	#S(12)#C(#ccbb7e)8、每日可进行幸运转盘次数4#n#n	3	gold	炼金	
29	#S(12)#C(#ccbb7e)9、每日可购买体力次数4#n#n	3	tili	购买	
30	#S(12)#C(#ccbb7e)10、每日可进行炼金次数12#n#n	3			
31	#S(12)#C(#ccbb7e)11、每日可购买副本次数2#n#n	3	zb_cs	占卜	2
32	#S(12)#C(#ccbb7e)12、每日可购买英灵神殿行动力次数3#n#n	3	gold	炼金	
33	#S(12)#C(#ccbb7e)13、背包格数60#n#n	3	tili	购买	
34	#S(12)#C(#ccbb7e)14、每日可额外购买情缘副本挑战次数2#n#n	3			
35	#B#S(14)#C(#4dcced)1、装备强化免CD#n#n#n	4			
36	#B#S(14)#C(#4dcced)2、贵族商城开启贵族优惠大礼包(4)#n#n#n	4	zb_cs	占卜	3
37	#S(12)#C(#ccbb7e)3、日常任务立即完成#n#n	4	gold	炼金	
38	#S(12)#C(#ccbb7e)4、高级占卜#n#n	4	tili	购买	
39	#S(12)#C(#ccbb7e)5、英雄祭坛普通召唤8折优惠#n#n	4			
40	#S(12)#C(#ccbb7e)6、英灵神殿可扫荡#n#n	4			
41	#S(12)#C(#ccbb7e)7、心魔炼狱可额外购买复活次数1#n#n	4			
42	#S(12)#C(#ccbb7e)8、每日可进行幸运转盘次数6#n#n	4			
43	#S(12)#C(#ccbb7e)9、每日可购买体力次数4#n#n	4			
44	#S(12)#C(#ccbb7e)10、每日可进行炼金次数16#n#n	4			
45	#S(12)#C(#ccbb7e)11、每日可购买副本次数2#n#n	4			
46	#S(12)#C(#ccbb7e)12、每日可购买公会副本行动力次数1#n#n	4			
47	#S(12)#C(#ccbb7e)13、每日可购买英灵神殿行动力次数4#n#n	4			
48	#S(12)#C(#ccbb7e)14、背包格数60#n#n	4			
49	#S(12)#C(#ccbb7e)15、每日可额外购买情缘副本挑战次数2#n#n	4			
50	#B#S(14)#C(#4dcced)1、副本扫荡免CD#n#n#n	5			
51	#B#S(14)#C(#4dcced)2、炼金完美收获#n#n#n	5			
52	#B#S(14)#C(#4dcced)3、英雄祭坛高级召唤8折优惠#n#n#n	5			
