index	coding	costUnbindRMB	hero	tarot	serverReward	bindRMB	gold	unbindRMB_S	rewardsView	showValue
索引(Vip等级)	物品coding	需要消耗的神石	奖励英雄	奖励命魂	道具奖励	奖励魔晶	奖励金币	奖励神石	奖励(客户端预览)	价值标签（客户端显示）
1	28512	95	0	0	[(25600,20),(26033,1),(25681,10),(25637,10)]	0	950000	95	[(1,26047,95),(1,25600,20),(1,26033,1),(1,25681,10),(1,25637,10),(1,25828,950000)]	495
2	28513	395	0	0	[(26344,20),(26342,20),(26343,10),(25681,20)]	0	3950000	395	[(1,26047,395),(1,26344,20),(1,26342,20),(1,26343,10),(1,25681,20),(1,25828,3950000)]	995
3	28514	795	0	0	[(25748,1),(26042,1),(26925,4),(25682,20)]	0	7950000	795	[(1,26047,795),(1,25748,1),(1,26042,1),(1,26925,4),(1,25682,20),(1,25828,7950000)]	1995
4	28515	1295	0	0	[(25756,1),(26608,1),(26924,4),(25682,40)]	0	12950000	1295	[(1,26047,1295),(1,25756,1),(1,26608,1),(1,26924,4),(1,25682,40),(1,25828,12950000)]	2995
5	28516	1795	0	0	[(27622,1),(27709,1),(27566,5),(25683,40)]	0	17950000	1795	[(1,26047,1795),(1,27622,1),(1,27709,1),(1,27566,5),(1,25683,40),(1,25828,17950000)]	3995
6	28517	2495	0	0	[(27520,1),(26676,3),(25837,10),(25683,80)]	0	24950000	2495	[(1,26047,2495),(1,27520,1),(1,26676,3),(1,25837,10),(1,25683,80),(1,25828,24950000)]	4995
7	28518	4995	0	0	[(27624,1),(28253,1),(26144,10),(25684,80)]	0	49950000	4995	[(1,26047,4995),(1,27624,1),(1,28253,1),(1,26144,10),(1,25684,80),(1,25828,49950000)]	9995
8	28519	9995	0	0	[(27618,1),(27492,1),(26677,10),(25684,160)]	0	99950000	9995	[(1,26047,9995),(1,27618,1),(1,27492,1),(1,26677,10),(1,25684,160),(1,25828,99950000)]	19995
9	28520	14995	0	0	[(27625,1),(28254,1),(26298,5),(25685,160)]	0	149950000	14995	[(1,26047,14995),(1,27625,1),(1,28254,1),(1,26298,5),(1,25685,160),(1,25828,149950000)]	29995
10	28521	24995	0	0	[(27619,1),(27493,1),(28031,1),(25685,320)]	0	249950000	24995	[(1,26047,24995),(1,27619,1),(1,27493,1),(1,28031,1),(1,25685,320),(1,25828,249950000)]	49995
