index	coding	costUnbindRMB	hero	tarot	serverReward	bindRMB	gold	unbindRMB_S	rewardsView	showValue
索引(Vip等级)	物品coding	需要消耗的神石	奖励英雄	奖励命魂	道具奖励	奖励魔晶	奖励金币	奖励神石	奖励(客户端预览)	价值标签（客户端显示）
1	28512	19	0	0	[(25600,20),(26034,1),(25681,10),(25637,10)]	0	190000	19	[(1,26047,19),(1,25600,20),(1,26034,1),(1,25681,10),(1,25637,10),(1,25828,190000)]	288
2	29503	99	0	0	[(25600,20),(26450,10),(25681,20),(25637,10)]	0	990000	99	[(1,26047,99),(1,25600,20),(1,26450,10),(1,25681,20),(1,25637,10),(1,25828,990000)]	588
3	28514	199	0	0	[(25748,1),(26042,2),(26925,4),(25682,20)]	0	1990000	199	[(1,26047,199),(1,25748,1),(1,26042,2),(1,26925,4),(1,25682,20),(1,25828,1990000)]	888
4	28515	499	0	0	[(25756,1),(26608,1),(26924,4),(25682,40)]	0	4990000	499	[(1,26047,499),(1,25756,1),(1,26608,1),(1,26924,4),(1,25682,40),(1,25828,4990000)]	2188
5	28516	699	0	0	[(27623,1),(27709,2),(26933,5),(25683,40)]	0	6990000	699	[(1,26047,699),(1,27623,1),(1,27709,2),(1,26933,5),(1,25683,40),(1,25828,6990000)]	2588
6	28517	999	0	0	[(27521,1),(26676,5),(25837,20),(25683,80)]	0	9990000	999	[(1,26047,999),(1,27521,1),(1,26676,5),(1,25837,20),(1,25683,80),(1,25828,9990000)]	3688
7	28518	1999	0	0	[(27624,1),(28253,1),(26144,20),(25684,80)]	0	19990000	1999	[(1,26047,1999),(1,27624,1),(1,28253,1),(1,26144,20),(1,25684,80),(1,25828,19990000)]	6888
8	28519	3999	0	0	[(27618,1),(27492,1),(26677,10),(25684,160)]	0	39990000	3999	[(1,26047,3999),(1,27618,1),(1,27492,1),(1,26677,10),(1,25684,160),(1,25828,39990000)]	9888
9	28520	5999	0	0	[(27626,1),(28254,1),(26298,5),(25685,160)]	0	59990000	5999	[(1,26047,5999),(1,27626,1),(1,28254,1),(1,26298,5),(1,25685,160),(1,25828,59990000)]	15888
10	28521	9999	0	0	[(27620,1),(27493,1),(28031,1),(25685,320)]	0	99990000	9999	[(1,26047,9999),(1,27620,1),(1,27493,1),(1,28031,1),(1,25685,320),(1,25828,99990000)]	26888
