index	hero1	tarot1	serverReward1	bindRMB1	gold1	hero2	tarot2	serverReward2	bindRMB2	gold2	reward2RMB	showValue	rightPicture
索引(Vip等级)	英雄	命魂	服务端奖励，免费领取	魔晶	金币	英雄	命魂	服务端奖励，花费神石领取	魔晶	金币	奖励2消耗神石	价值标签（客户端显示）	特权图片
1	0	0	[(25600,10),(28512,1)]	10	100000	0	0	[(25600,20),(26034,1),(25681,10),(25637,10)]	19	190000	19	288	AD_GZ1_1,AD_GZ1_2,AD_GZ1_3
2	0	0	[(25656,1),(28513,1)]	30	200000	0	0	[(26344,20),(26342,20),(26343,10),(25681,20)]	99	990000	99	688	AD_GZ2_1,AD_GZ2_2,AD_GZ2_3
3	0	0	[(35619,1),(25656,1),(28514,1)]	50	300000	0	0	[(25747,1),(26924,10),(26925,10),(27171,1),(25682,20)]	199	1990000	199	998	AD_GZ3_1,AD_GZ3_2,AD_GZ3_3
4	14	0	[(35620,1),(28515,1)]	80	400000	0	2	[(25747,1),(26042,1),(26608,1),(25682,40)]	499	4990000	499	2588	AD_GZ4_1,AD_GZ4_2,AD_GZ4_3
5	0	0	[(35622,1),(35621,1),(25657,1),(28516,1)]	150	500000	0	0	[(25756,1),(25893,1),(26479,20),(26042,5),(25683,40)]	699	6990000	699	2888	AD_GZ5_1,AD_GZ5_2,AD_GZ5_3
6	24	0	[(35618,1),(35623,1),(28517,1)]	200	600000	0	0	[(25765,1),(25905,1),(26934,30),(26933,30),(25683,40)]	999	9990000	999	3688	AD_GZ6_4,AD_GZ6_2,AD_GZ6_3
7	0	0	[(35655,1),(35656,1),(28039,1),(28518,1)]	300	800000	0	0	[(25774,1),(25917,1),(25837,30),(26676,1),(25684,80)]	1299	12990000	1299	3888	AD_GZ7_4,AD_GZ7_2,AD_GZ7_3
8	92	0	[(35658,1),(35657,1),(28519,1)]	400	1000000	0	0	[(25783,1),(25929,1),(26144,30),(26449,10),(25684,80)]	2499	24990000	2499	6888	AD_GZ8_4,AD_GZ8_2,AD_GZ8_3
9	173	0	[(35654,1),(35659,1),(28520,1)]	500	3000000	0	0	[(25792,1),(25941,1),(26677,20),(26676,3),(25685,160)]	4999	49990000	4999	12888	AD_GZ9_5_yy,AD_GZ9_2,AD_GZ9_3
10	0	0	[(28253,1),(27492,1),(27521,1),(28521,1)]	1000	5000000	0	0	[(25801,1),(25953,1),(27041,20),(27042,20),(25685,320)]	9999	99990000	9999	26888	AD_GZ10_5_yy,AD_GZ10_4,AD_GZ10_3
