index	hero1	tarot1	serverReward1	bindRMB1	gold1	hero2	tarot2	serverReward2	bindRMB2	gold2	reward2RMB	showValue	rightPicture
索引(Vip等级)	英雄	命魂	服务端奖励，免费领取	魔晶	金币	英雄	命魂	服务端奖励，花费神石领取	魔晶	金币	奖励2消耗神石	价值标签（客户端显示）	特权图片
1	0	0	[(25600,10),(28512,1)]	50	100000	0	0	[(25600,20),(27479,1),(25681,10),(25637,10)]	295	190000	295	595	AD_GZ1_1,AD_GZ1_2,AD_GZ1_3
2	0	0	[(25656,1),(28513,1)]	150	200000	0	0	[(26344,20),(26342,20),(26343,10),(25681,20)]	695	990000	695	1495	AD_GZ2_1,AD_GZ2_2,AD_GZ2_3
3	0	0	[(35619,1),(25656,1),(28514,1)]	250	300000	0	0	[(25747,1),(26634,1),(26451,30),(26454,40),(25682,20)]	1195	1990000	1195	2495	AD_GZ3_1,AD_GZ3_2,AD_GZ3_3
4	14	0	[(35620,1),(28515,1)]	400	400000	0	2	[(25747,1),(26042,2),(26043,20),(25682,40)]	1495	4990000	1495	2995	AD_GZ4_1,AD_GZ4_2,AD_GZ4_3
5	0	0	[(35622,1),(35621,1),(25657,1),(28516,1)]	750	500000	0	0	[(25756,1),(25893,1),(26608,1),(25683,40)]	1695	6990000	1695	3495	AD_GZ5_1,AD_GZ5_2,AD_GZ5_3
6	24	0	[(35618,1),(35623,1),(28517,1)]	1000	600000	0	0	[(25765,1),(25905,1),(26161,1),(26162,1),(25683,40)]	1995	9990000	1995	3995	AD_GZ6_4,AD_GZ6_2,AD_GZ6_3
7	0	0	[(35655,1),(35656,1),(28039,1),(28518,1)]	1500	800000	0	0	[(25774,1),(25917,1),(25837,30),(26676,1),(25684,80)]	3995	8995000	3995	8995	AD_GZ7_4,AD_GZ7_2,AD_GZ7_3
8	92	0	[(35658,1),(35657,1),(28519,1)]	2000	1000000	0	0	[(25783,1),(25929,1),(26144,30),(26449,10),(25684,80)]	7995	15995000	7995	15995	AD_GZ8_4,AD_GZ8_2,AD_GZ8_3
9	173	0	[(35654,1),(35659,1),(28520,1)]	2500	3000000	0	0	[(25792,1),(25941,1),(26677,20),(26676,3),(25685,160)]	14995	29995000	14995	29995	AD_GZ9_4,AD_GZ9_2,AD_GZ9_1
10	0	0	[(28253,1),(27492,1),(27521,1),(28521,1)]	5000	5000000	0	0	[(25801,1),(25953,1),(25831,25),(25970,25),(25685,320)]	24995	49995000	24995	49995	AD_GZ10_4,AD_GZ10_1,AD_GZ10_3
