rewardId	rewardType	rangeId	levelRange	rewardItem	isPrecious	rateValue
奖励ID	奖励类型 1-对应1朵玫瑰 2-对应99朵玫瑰	等级段ID	等级区段	奖励物品(coding,cnt)	是否珍贵物品(0-否 1-是)	抽奖概率
1	1	1	[30,39]	(25600,1)	0	1000
2	1	1	[30,39]	(26344,1)	0	1000
3	1	1	[30,39]	(25600,2)	0	1000
4	1	1	[30,39]	(26344,2)	0	1000
5	1	1	[30,39]	(26342,1)	0	1000
6	1	1	[30,39]	(26044,1)	0	300
7	1	1	[30,39]	(26033,1)	0	600
8	1	1	[30,39]	(26032,1)	0	1000
9	1	1	[30,39]	(25681,20)	0	1000
10	1	2	[40,59]	(25600,1)	0	1000
11	1	2	[40,59]	(26344,1)	0	1000
12	1	2	[40,59]	(25600,2)	0	1000
13	1	2	[40,59]	(26344,2)	0	1000
14	1	2	[40,59]	(26342,1)	0	1000
15	1	2	[40,59]	(26044,1)	0	300
16	1	2	[40,59]	(26033,1)	0	600
17	1	2	[40,59]	(26032,1)	0	1000
18	1	2	[40,59]	(25682,20)	0	1000
19	1	2	[40,59]	(25671,5)	0	1000
20	1	2	[40,59]	(25661,10)	0	1000
21	1	2	[40,59]	(25666,10)	0	1000
22	1	3	[60,79]	(25600,3)	0	1000
23	1	3	[60,79]	(26344,2)	0	1000
24	1	3	[60,79]	(25600,2)	0	1000
25	1	3	[60,79]	(26344,2)	0	1000
26	1	3	[60,79]	(26342,2)	0	1000
27	1	3	[60,79]	(26044,1)	0	300
28	1	3	[60,79]	(26033,1)	0	600
29	1	3	[60,79]	(26032,1)	0	1000
30	1	3	[60,79]	(26267,1)	0	300
31	1	3	[60,79]	(26119,1)	0	600
32	1	3	[60,79]	(26266,1)	0	1000
33	1	3	[60,79]	(25837,1)	0	1000
34	1	3	[60,79]	(26144,1)	0	1000
35	1	3	[60,79]	(25831,1)	0	1000
36	1	3	[60,79]	(25970,1)	0	1000
37	1	3	[60,79]	(25683,20)	0	1000
38	1	3	[60,79]	(25672,5)	0	1000
39	1	3	[60,79]	(25662,10)	0	1000
40	1	3	[60,79]	(25667,10)	0	1000
41	1	4	[80,99]	(25600,3)	0	1000
42	1	4	[80,99]	(26344,2)	0	1000
43	1	4	[80,99]	(25600,2)	0	1000
44	1	4	[80,99]	(26344,2)	0	1000
45	1	4	[80,99]	(26342,2)	0	1000
46	1	4	[80,99]	(26044,1)	0	300
47	1	4	[80,99]	(26033,1)	0	600
48	1	4	[80,99]	(26032,1)	0	1000
49	1	4	[80,99]	(26267,1)	0	300
50	1	4	[80,99]	(26119,1)	0	600
51	1	4	[80,99]	(26266,1)	0	1000
52	1	4	[80,99]	(25837,1)	0	1000
53	1	4	[80,99]	(26144,1)	0	1000
54	1	4	[80,99]	(25831,1)	0	1000
55	1	4	[80,99]	(25970,1)	0	1000
56	1	4	[80,99]	(25684,20)	0	1000
57	1	4	[80,99]	(25673,5)	0	1000
58	1	4	[80,99]	(25663,10)	0	1000
59	1	4	[80,99]	(25668,10)	0	1000
60	1	5	[100,119]	(25600,3)	0	1000
61	1	5	[100,119]	(26344,2)	0	1000
62	1	5	[100,119]	(25600,2)	0	1000
63	1	5	[100,119]	(26344,2)	0	1000
64	1	5	[100,119]	(26342,2)	0	1000
65	1	5	[100,119]	(26044,1)	0	300
66	1	5	[100,119]	(26033,1)	0	600
67	1	5	[100,119]	(26032,1)	0	1000
68	1	5	[100,119]	(26267,1)	0	300
69	1	5	[100,119]	(26119,1)	0	600
70	1	5	[100,119]	(26266,1)	0	1000
71	1	5	[100,119]	(25837,1)	0	1000
72	1	5	[100,119]	(26144,1)	0	1000
73	1	5	[100,119]	(25831,1)	0	1000
74	1	5	[100,119]	(25970,1)	0	1000
75	1	5	[100,119]	(25685,20)	0	1000
76	1	5	[100,119]	(25674,5)	0	1000
77	1	5	[100,119]	(25664,10)	0	1000
78	1	5	[100,119]	(25669,10)	0	1000
79	1	6	[120,139]	(25600,3)	0	1000
80	1	6	[120,139]	(26344,2)	0	1000
81	1	6	[120,139]	(25600,2)	0	1000
82	1	6	[120,139]	(26344,2)	0	1000
83	1	6	[120,139]	(26342,2)	0	1000
84	1	6	[120,139]	(26044,1)	0	300
85	1	6	[120,139]	(26033,1)	0	600
86	1	6	[120,139]	(26032,1)	0	1000
87	1	6	[120,139]	(26267,1)	0	300
88	1	6	[120,139]	(26119,1)	0	600
89	1	6	[120,139]	(26266,1)	0	1000
90	1	6	[120,139]	(25837,1)	0	1000
91	1	6	[120,139]	(26144,1)	0	1000
92	1	6	[120,139]	(25831,1)	0	1000
93	1	6	[120,139]	(25970,1)	0	1000
94	1	6	[120,139]	(25686,20)	0	1000
95	1	6	[120,139]	(25675,5)	0	1000
96	1	6	[120,139]	(25665,10)	0	1000
97	1	6	[120,139]	(25670,10)	0	1000
98	1	7	[140,159]	(25600,3)	0	1000
99	1	7	[140,159]	(26344,2)	0	1000
100	1	7	[140,159]	(25600,2)	0	1000
101	1	7	[140,159]	(26344,2)	0	1000
102	1	7	[140,159]	(26342,2)	0	1000
103	1	7	[140,159]	(26044,1)	0	300
104	1	7	[140,159]	(26033,1)	0	600
105	1	7	[140,159]	(26032,1)	0	1000
106	1	7	[140,159]	(26267,1)	0	300
107	1	7	[140,159]	(26119,1)	0	600
108	1	7	[140,159]	(26266,1)	0	1000
109	1	7	[140,159]	(25837,1)	0	1000
110	1	7	[140,159]	(26144,1)	0	1000
111	1	7	[140,159]	(25831,1)	0	1000
112	1	7	[140,159]	(25970,1)	0	1000
113	1	7	[140,159]	(26607,20)	0	1000
114	1	7	[140,159]	(27050,5)	0	1000
115	1	7	[140,159]	(27048,10)	0	1000
116	1	7	[140,159]	(27049,10)	0	1000
117	1	8	[160,179]	(25600,2)	0	1000
118	1	8	[160,179]	(26344,2)	0	1000
119	1	8	[160,179]	(26342,2)	0	1000
120	1	8	[160,179]	(26044,1)	0	300
121	1	8	[160,179]	(26033,1)	0	600
122	1	8	[160,179]	(26032,1)	0	1000
123	1	8	[160,179]	(26267,1)	0	300
124	1	8	[160,179]	(26119,1)	0	600
125	1	8	[160,179]	(26266,1)	0	1000
126	1	8	[160,179]	(25837,1)	0	1000
127	1	8	[160,179]	(26144,1)	0	1000
128	1	8	[160,179]	(25831,1)	0	1000
129	1	8	[160,179]	(25970,1)	0	1000
130	1	8	[160,179]	(27066,20)	0	1000
131	1	8	[160,179]	(27906,5)	0	1000
132	1	8	[160,179]	(27904,10)	0	1000
133	1	8	[160,179]	(27905,10)	0	1000
134	2	1	[30,39]	(37031,1)	1	23
135	2	1	[30,39]	(37033,1)	1	27
136	2	1	[30,39]	(26026,1)	0	1000
137	2	1	[30,39]	(26224,1)	0	350
138	2	1	[30,39]	(26225,1)	0	100
139	2	1	[30,39]	(25600,15)	0	600
140	2	1	[30,39]	(25600,18)	0	600
141	2	1	[30,39]	(25600,20)	0	600
142	2	1	[30,39]	(27566,2)	0	600
143	2	1	[30,39]	(26042,1)	0	400
144	2	2	[40,59]	(37031,1)	1	23
145	2	2	[40,59]	(37033,1)	1	27
146	2	2	[40,59]	(26026,1)	0	1000
147	2	2	[40,59]	(26224,1)	0	350
148	2	2	[40,59]	(26225,1)	0	100
149	2	2	[40,59]	(25600,15)	0	600
150	2	2	[40,59]	(25600,18)	0	600
151	2	2	[40,59]	(25600,20)	0	600
152	2	2	[40,59]	(27566,2)	0	600
153	2	2	[40,59]	(26042,1)	0	400
154	2	3	[60,79]	(37031,1)	1	50
155	2	3	[60,79]	(37033,1)	1	60
156	2	3	[60,79]	(27879,1)	1	10
157	2	3	[60,79]	(26026,1)	0	1000
158	2	3	[60,79]	(26224,1)	0	350
159	2	3	[60,79]	(26225,1)	1	100
160	2	3	[60,79]	(26226,1)	1	40
161	2	3	[60,79]	(27566,2)	0	800
162	2	3	[60,79]	(26042,1)	0	500
163	2	3	[60,79]	(26925,4)	0	800
164	2	3	[60,79]	(25837,10)	0	800
165	2	3	[60,79]	(26144,10)	0	800
166	2	3	[60,79]	(26924,4)	0	800
167	2	3	[60,79]	(26227,1)	0	800
168	2	3	[60,79]	(26228,1)	0	270
169	2	3	[60,79]	(26229,1)	1	80
170	2	3	[60,79]	(26934,5)	0	800
171	2	3	[60,79]	(26933,5)	0	800
172	2	3	[60,79]	(26485,2)	0	800
173	2	3	[60,79]	(26484,4)	0	800
174	2	4	[80,99]	(37031,1)	1	63
175	2	4	[80,99]	(37033,1)	1	72
176	2	4	[80,99]	(27879,1)	1	10
177	2	4	[80,99]	(27880,1)	1	10
178	2	4	[80,99]	(26026,1)	0	1000
179	2	4	[80,99]	(26224,1)	0	350
180	2	4	[80,99]	(26225,1)	1	100
181	2	4	[80,99]	(26226,1)	1	50
182	2	4	[80,99]	(26928,1)	1	25
183	2	4	[80,99]	(27566,2)	0	800
184	2	4	[80,99]	(26042,1)	0	500
185	2	4	[80,99]	(26925,5)	0	800
186	2	4	[80,99]	(26924,5)	0	800
187	2	4	[80,99]	(25837,12)	0	800
