itemCoding	needCoding	needItemCnt	needLevel	isLimit	limitCnt
物品coding	兑换需要物品coding	兑换需要物品数量	兑换需要角色等级	是否限购(0-不限, 1-限购)	限购个数
37046	28443	96	40	1	1
37043	28443	60	40	1	1
37044	28443	60	40	1	1
37045	28443	45	40	1	1
28973	28443	360	30	1	1
26972	28443	200	30	1	1
27571	28443	488	100	1	1
27569	28443	388	100	1	1
26319	28443	1	80	1	200
26320	28443	1	80	1	200
26337	28443	4	80	1	200
26338	28443	4	80	1	200
28452	28443	4	100	1	150
28448	28443	4	100	1	50
28449	28443	3	100	1	100
28450	28443	3	100	1	100
28451	28443	3	100	1	100
27874	28443	2	80	1	150
27875	28443	2	80	1	50
27876	28443	2	80	1	100
27877	28443	2	80	1	100
27878	28443	2	80	1	100
26753	28443	30	45	1	1
26755	28443	30	45	1	1
26757	28443	30	45	1	1
26754	28443	30	45	1	1
26756	28443	30	45	1	1
26758	28443	30	45	1	1
27251	28443	20	45	1	1
27252	28443	20	45	1	1
27253	28443	20	45	1	1
27254	28443	20	45	1	1
27255	28443	20	45	1	1
27256	28443	20	45	1	1
27518	28443	6	30	0	1
27621	28443	6	60	0	1
