serverType	rank	needJiFen	rewardItems	rankImg
服务器类型	排名	需要积分	奖励	是否显示
1	1	3000	[(28443,50),(26450,60),(27566,40)]	WZGC_TextDYM
1	2	3000	[(28443,35),(26450,48),(27566,32)]	WZGC_TextDRM
1	3	3000	[(28443,25),(26450,36),(27566,24)]	WZGC_TextDSM
1	4	3000	[(28443,20),(26450,24),(27566,18)]	WZGC_TextD4M
1	5	3000	[(28443,10),(26450,15),(27566,10)]	WZGC_TextD5M
1	6	3000	[(28443,10),(26450,15),(27566,10)]	0
1	7	3000	[(28443,10),(26450,15),(27566,10)]	0
1	8	3000	[(28443,10),(26450,15),(27566,10)]	0
1	9	3000	[(28443,5),(26450,10),(27566,6)]	0
1	10	3000	[(28443,5),(26450,10),(27566,6)]	0
