waveIndex	levelRangeId	levelRange	itemIndex	rateValue	isPrecious	rewardItem
奖励波次索引	等级段ID	等级区段	物品轮盘位置索引	抽奖概率	是否珍稀奖励	抽奖道具
1	1	[30,59]	1	1000	0	(25600,10)
1	1	[30,59]	3	500	0	(25600,15)
1	1	[30,59]	5	250	0	(25600,20)
1	1	[30,59]	7	120	0	(25600,25)
1	1	[30,59]	9	100	0	(25600,30)
1	1	[30,59]	11	60	0	(25600,50)
1	1	[30,59]	2	1000	0	(27566,2)
1	1	[30,59]	4	500	0	(27566,3)
1	1	[30,59]	6	250	0	(27566,4)
1	1	[30,59]	8	100	0	(27566,6)
1	1	[30,59]	10	80	0	(27566,8)
1	1	[30,59]	12	3	1	(27618,1)
1	2	[60,99]	1	1200	0	(26677,5)
1	2	[60,99]	2	800	0	(26677,8)
1	2	[60,99]	4	500	0	(26677,10)
1	2	[60,99]	5	500	0	(26677,10)
1	2	[60,99]	7	250	0	(26677,12)
1	2	[60,99]	8	250	0	(26677,12)
1	2	[60,99]	10	100	0	(26677,15)
1	2	[60,99]	11	100	0	(26677,15)
1	2	[60,99]	3	100	0	(26676,1)
1	2	[60,99]	6	50	0	(26676,2)
1	2	[60,99]	9	20	0	(26676,4)
1	2	[60,99]	12	1	1	(27492,1)
1	3	[100,179]	1	1500	0	(25837,10)
1	3	[100,179]	3	1200	0	(25837,15)
1	3	[100,179]	5	600	0	(25837,20)
1	3	[100,179]	7	480	0	(25837,25)
1	3	[100,179]	9	240	0	(25837,30)
1	3	[100,179]	11	100	0	(25837,50)
1	3	[100,179]	2	1500	0	(27167,1)
1	3	[100,179]	4	600	0	(27167,2)
1	3	[100,179]	6	240	0	(27167,3)
1	3	[100,179]	8	180	0	(27167,4)
1	3	[100,179]	10	100	0	(27167,5)
1	3	[100,179]	12	5	1	(27492,1)
2	1	[30,59]	1	2100	0	(26344,10)
2	1	[30,59]	3	1500	0	(26344,15)
2	1	[30,59]	5	700	0	(26344,20)
2	1	[30,59]	7	300	0	(26344,25)
2	1	[30,59]	9	270	0	(26344,30)
2	1	[30,59]	11	150	0	(26344,50)
2	1	[30,59]	2	1500	0	(28267,1)
2	1	[30,59]	4	700	0	(26634,1)
2	1	[30,59]	6	700	0	(26634,1)
2	1	[30,59]	8	270	0	(28267,1)
2	1	[30,59]	10	20	0	(26608,1)
2	1	[30,59]	12	1	1	(27618,1)
2	2	[60,99]	1	1500	0	(25837,10)
2	2	[60,99]	3	1200	0	(25837,15)
2	2	[60,99]	5	600	0	(25837,20)
2	2	[60,99]	7	480	0	(25837,25)
2	2	[60,99]	9	240	0	(25837,30)
2	2	[60,99]	11	100	0	(25837,50)
2	2	[60,99]	2	1500	0	(27167,1)
2	2	[60,99]	4	600	0	(27167,2)
2	2	[60,99]	6	240	0	(27167,3)
2	2	[60,99]	8	180	0	(27167,4)
2	2	[60,99]	10	100	0	(27167,5)
2	2	[60,99]	12	5	1	(27492,1)
2	3	[100,179]	1	1500	0	(26144,10)
2	3	[100,179]	3	1200	0	(26144,15)
2	3	[100,179]	5	500	0	(26144,20)
2	3	[100,179]	7	300	0	(26144,25)
2	3	[100,179]	9	250	0	(26144,30)
2	3	[100,179]	11	100	0	(26144,50)
2	3	[100,179]	2	1500	0	(26447,5)
2	3	[100,179]	4	500	0	(26447,10)
2	3	[100,179]	6	500	0	(26448,5)
2	3	[100,179]	8	200	0	(26448,10)
2	3	[100,179]	10	40	0	(28353,1)
2	3	[100,179]	12	2	1	(27492,1)
3	1	[30,59]	1	1000	0	(25600,10)
3	1	[30,59]	3	500	0	(25600,15)
3	1	[30,59]	5	250	0	(25600,20)
3	1	[30,59]	7	120	0	(25600,25)
3	1	[30,59]	9	100	0	(25600,30)
3	1	[30,59]	11	60	0	(25600,50)
3	1	[30,59]	2	1000	0	(27566,2)
3	1	[30,59]	4	500	0	(27566,3)
3	1	[30,59]	6	250	0	(27566,4)
3	1	[30,59]	8	100	0	(27566,6)
3	1	[30,59]	10	80	0	(27566,8)
