starId	IsMax	grade	starNum	useTimes	otherCoding	price	effGrade	needItem	NextID	breakItem	attack_pt	attack_mt	maxhp_t	crit_t	critpress_t	parry_t	puncture_t	antibroken_t	notbroken_t	maxhp	attackspeed	anger	attack_p	defense_p	attack_m	defense_m	crit	critpress	antibroken	notbroken	parry	puncture	damageupgrade	damagereduce
星级索引	是否是最大级	阶级	显示星星数	可使用战魂强化石次数	临时道具coding	神石购买单个道具价格	特效等级	升星到下一级需要的道具	是否进阶,进阶ID	突破需要的(道具，数量，增加的进度,总共需要的进度)	物攻万分比属性	法攻万分比属性	生命万分比属性	暴击万分比属性	免暴万分比属性	格挡万分比属性	破挡万分比属性	破防万分比属性	免破万分比属性	生命	攻击速度	怒气	物攻	物防	法攻	法防	暴击	免暴	破防	免破	格挡	破挡	增伤	免伤
0	0	0	0	0	28565	50	0	(28563,32)	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	0	0	1	3	28565	50	1	(28563,12)	0		0	0	0	0	0	0	0	0	0	1880	0	0	500	0	500	0	100	100	50	50	100	100	0	0
2	0	0	2	4	28565	50	1	(28563,14)	0		0	0	0	0	0	0	0	0	0	2180	0	0	580	0	580	0	120	110	60	60	110	120	0	0
3	0	0	3	5	28565	50	1	(28563,17)	0		0	0	0	0	0	0	0	0	0	2480	0	0	660	0	660	0	140	120	70	70	120	140	0	0
4	0	0	4	6	28565	50	1	(28563,20)	0		0	0	0	0	0	0	0	0	0	2780	0	0	740	0	740	0	160	130	80	80	130	160	0	0
5	0	0	5	7	28565	50	1	(28563,25)	0		0	0	0	0	0	0	0	0	0	3080	0	0	820	0	820	0	180	140	90	90	140	180	0	0
6	0	0	6	8	28565	50	1	(28563,27)	0		0	0	0	0	0	0	0	0	0	3380	0	0	900	0	900	0	200	150	100	100	150	200	0	0
7	0	0	7	9	28565	50	1	(28563,27)	0		0	0	0	0	0	0	0	0	0	3680	0	0	980	0	980	0	220	160	110	110	160	220	0	0
8	0	0	8	10	28565	50	1	(28563,27)	0		0	0	0	0	0	0	0	0	0	3980	0	0	1060	0	1060	0	240	170	120	120	170	240	0	0
9	0	0	9	11	28565	50	1	(28563,29)	0		0	0	0	0	0	0	0	0	0	4280	0	0	1140	0	1140	0	260	180	130	130	180	260	0	0
10	0	0	10	12	28566	125	1		1	(28564,1,10,300)	0	0	0	0	0	0	0	0	0	4580	0	0	1220	0	1220	0	280	190	140	140	190	280	0	0
11	0	1	0	12	28565	50	2	(28563,30)	0		600	600	0	600	0	0	600	600	0	4580	0	0	1220	0	1220	0	280	190	140	140	190	280	400	0
12	0	1	1	15	28565	50	2	(28563,31)	0		600	600	0	600	0	0	600	600	0	4880	0	0	1300	0	1300	0	300	200	150	150	200	300	400	0
13	0	1	2	16	28565	50	2	(28563,32)	0		600	600	0	600	0	0	600	600	0	5180	0	0	1380	0	1380	0	320	210	160	160	210	320	400	0
14	0	1	3	17	28565	50	2	(28563,33)	0		600	600	0	600	0	0	600	600	0	5480	0	0	1460	0	1460	0	340	220	170	170	220	340	400	0
15	0	1	4	18	28565	50	2	(28563,34)	0		600	600	0	600	0	0	600	600	0	5780	0	0	1540	0	1540	0	360	230	180	180	230	360	400	0
16	0	1	5	19	28565	50	2	(28563,43)	0		600	600	0	600	0	0	600	600	0	6080	0	0	1620	0	1620	0	380	240	190	190	240	380	400	0
17	0	1	6	20	28565	50	2	(28563,44)	0		600	600	0	600	0	0	600	600	0	6380	0	0	1700	0	1700	0	400	250	200	200	250	400	400	0
18	0	1	7	21	28565	50	2	(28563,45)	0		600	600	0	600	0	0	600	600	0	6680	0	0	1780	0	1780	0	420	260	210	210	260	420	400	0
19	0	1	8	22	28565	50	2	(28563,46)	0		600	600	0	600	0	0	600	600	0	6980	0	0	1860	0	1860	0	440	270	220	220	270	440	400	0
20	0	1	9	23	28565	50	2	(28563,48)	0		600	600	0	600	0	0	600	600	0	7280	0	0	1940	0	1940	0	460	280	230	230	280	460	400	0
21	0	1	10	24	28566	125	2		2	(28564,2,20,660)	600	600	0	600	0	0	600	600	0	7580	0	0	2020	0	2020	0	480	290	240	240	290	480	400	0
