rank	region	boxDict
排名	战区	宝箱字典
1	1	{26672:2, 26667:2, 26671:2}
2	1	{26672:2, 26667:2, 26671:1}
3	1	{26672:2, 26667:2, 26671:1, 26665:1}
4	1	{26672:2, 26667:2, 26671:1}
5	1	{26672:2, 26667:1, 26671:1}
6	1	{26672:2, 26667:1, 26671:1}
7	1	{26672:2, 26667:1, 26671:1, 26665:1}
8	1	{26672:2, 26667:1, 26671:1}
9	1	{26672:2, 26667:1, 26671:1}
10	1	{26672:2, 26667:1, 26671:1, 26665:1}
11	1	{26672:2, 26667:1}
12	1	{26672:2, 26667:1}
13	1	{26672:2, 26667:1, 26665:1}
14	1	{26672:2, 26667:1}
15	1	{26672:2, 26667:1}
16	1	{26672:2, 26667:1, 26665:1}
17	1	{26672:2, 26667:1}
18	1	{26672:2, 26667:1}
19	1	{26672:2, 26667:1, 26665:1}
20	1	{26672:2, 26667:1}
21	1	{26672:1, 26667:1, 26665:1}
22	1	{26672:1, 26667:1}
23	1	{26672:1, 26667:1}
24	1	{26672:1, 26667:1}
25	1	{26672:1, 26667:1, 26665:1}
26	1	{26672:1, 26667:1}
27	1	{26672:1, 26667:1}
28	1	{26672:1, 26667:1, 26665:1}
29	1	{26672:1, 26667:1}
30	1	{26672:1, 26667:1, 26665:1}
31	1	{26672:1, 26667:1}
32	1	{26672:1, 26667:1}
33	1	{26672:1, 26667:1, 26665:1}
34	1	{26672:1, 26667:1}
35	1	{26672:1, 26667:1}
36	1	{26672:1, 26667:1}
37	1	{26672:1, 26667:1, 26665:1}
38	1	{26672:1, 26667:1}
39	1	{26672:1, 26667:1, 26665:1}
40	1	{26672:1, 26667:1}
41	1	{26672:1, 26667:1}
42	1	{26672:1, 26667:1}
43	1	{26672:1, 26667:1, 26665:1}
44	1	{26672:1, 26667:1}
45	1	{26672:1, 26667:1}
46	1	{26672:1, 26667:1, 26665:1}
47	1	{26672:1, 26667:1}
48	1	{26672:1, 26667:1}
49	1	{26672:1, 26667:1}
50	1	{26672:1, 26667:1, 26665:1}
51	1	{26672:1, 26665:1}
52	1	{26672:1}
53	1	{26672:1}
54	1	{26672:1, 26665:1}
55	1	{26672:1}
56	1	{26672:1, 26665:1}
57	1	{26672:1}
58	1	{26672:1}
59	1	{26672:1, 26665:1}
60	1	{26672:1}
61	1	{26672:1}
62	1	{26672:1, 26665:1}
63	1	{26672:1}
64	1	{26672:1}
65	1	{26672:1}
66	1	{26672:1, 26665:1}
67	1	{26672:1}
68	1	{26672:1}
69	1	{26672:1, 26665:1}
70	1	{26672:1}
71	1	{26672:1}
72	1	{26672:1}
73	1	{26672:1, 26665:1}
74	1	{26672:1}
75	1	{26672:1}
76	1	{26672:1, 26665:1}
77	1	{26672:1}
78	1	{26672:1}
79	1	{26672:1}
80	1	{26672:1}
81	1	{26672:1, 26665:1}
82	1	{26672:1}
83	1	{26672:1}
84	1	{26672:1}
85	1	{26672:1}
86	1	{26672:1}
87	1	{26672:1, 26665:1}
88	1	{26672:1}
89	1	{26672:1}
90	1	{26672:1}
91	1	{26672:1}
92	1	{26672:1, 26665:1}
93	1	{26672:1}
94	1	{26672:1}
95	1	{26672:1}
96	1	{26672:1}
97	1	{26672:1, 26665:1}
98	1	{26672:1}
99	1	{26672:1}
100	1	{26672:1, 26665:1}
1	2	{26673:2, 26668:2, 26671:2}
2	2	{26673:2, 26668:2, 26671:1, 26665:1}
3	2	{26673:2, 26668:2, 26671:1}
4	2	{26673:2, 26668:2, 26671:1}
5	2	{26673:2, 26668:1, 26671:1, 26665:1}
6	2	{26673:2, 26668:1, 26671:1}
7	2	{26673:2, 26668:1, 26671:1}
8	2	{26673:2, 26668:1, 26671:1, 26665:1}
9	2	{26673:2, 26668:1, 26671:1}
10	2	{26673:2, 26668:1, 26671:1}
11	2	{26673:2, 26668:1}
12	2	{26673:2, 26668:1, 26665:1}
13	2	{26673:2, 26668:1}
14	2	{26673:2, 26668:1, 26665:1}
15	2	{26673:2, 26668:1}
16	2	{26673:2, 26668:1}
17	2	{26673:2, 26668:1, 26665:1}
18	2	{26673:2, 26668:1}
19	2	{26673:2, 26668:1, 26665:1}
20	2	{26673:2, 26668:1}
21	2	{26673:1, 26668:1}
22	2	{26673:1, 26668:1}
23	2	{26673:1, 26668:1, 26665:1}
24	2	{26673:1, 26668:1}
25	2	{26673:1, 26668:1}
26	2	{26673:1, 26668:1}
27	2	{26673:1, 26668:1}
28	2	{26673:1, 26668:1}
29	2	{26673:1, 26668:1}
30	2	{26673:1, 26668:1}
31	2	{26673:1, 26668:1, 26665:1}
32	2	{26673:1, 26668:1}
33	2	{26673:1, 26668:1}
34	2	{26673:1, 26668:1, 26665:1}
35	2	{26673:1, 26668:1}
36	2	{26673:1, 26668:1}
37	2	{26673:1, 26668:1}
38	2	{26673:1, 26668:1, 26665:1}
39	2	{26673:1, 26668:1}
40	2	{26673:1, 26668:1}
41	2	{26673:1, 26668:1}
42	2	{26673:1, 26668:1}
43	2	{26673:1, 26668:1, 26665:1}
44	2	{26673:1, 26668:1}
45	2	{26673:1, 26668:1}
46	2	{26673:1, 26668:1, 26665:1}
47	2	{26673:1, 26668:1}
48	2	{26673:1, 26668:1}
49	2	{26673:1, 26668:1}
50	2	{26673:1, 26668:1, 26665:1}
51	2	{26673:1}
52	2	{26673:1}
53	2	{26673:1, 26665:1}
54	2	{26673:1}
55	2	{26673:1}
56	2	{26673:1, 26665:1}
57	2	{26673:1}
58	2	{26673:1}
59	2	{26673:1, 26665:1}
60	2	{26673:1}
61	2	{26673:1}
62	2	{26673:1, 26665:1}
63	2	{26673:1}
64	2	{26673:1, 26665:1}
65	2	{26673:1}
66	2	{26673:1}
