minScore	maxScore	regionIndex	items	items_fcm
最小积分	最大积分	战区	奖励物品	奖励物品防沉迷
10	199	1	[(27653,1)]	[(27653,1)]
200	499	1	[(27653,2)]	[(27653,1)]
500	799	1	[(27653,4)]	[(27653,2)]
800	1199	1	[(27653,6)]	[(27653,3)]
1200	1499	1	[(27653,8)]	[(27653,4)]
1500	9999	1	[(27653,10)]	[(27653,5)]
10	199	2	[(27653,2)]	[(27653,1)]
200	499	2	[(27653,3)]	[(27653,2)]
500	799	2	[(27653,5)]	[(27653,3)]
800	1199	2	[(27653,7)]	[(27653,4)]
1200	1499	2	[(27653,9)]	[(27653,5)]
1500	9999	2	[(27653,12)]	[(27653,6)]
10	199	3	[(27653,2)]	[(27653,1)]
200	499	3	[(27653,3)]	[(27653,2)]
500	799	3	[(27653,5)]	[(27653,3)]
800	1199	3	[(27653,7)]	[(27653,4)]
1200	1499	3	[(27653,9)]	[(27653,5)]
1500	9999	3	[(27653,12)]	[(27653,6)]
10	199	4	[(27653,2)]	[(27653,1)]
200	499	4	[(27653,3)]	[(27653,2)]
500	799	4	[(27653,5)]	[(27653,3)]
800	1199	4	[(27653,7)]	[(27653,4)]
1200	1499	4	[(27653,9)]	[(27653,5)]
1500	9999	4	[(27653,12)]	[(27653,6)]
10	199	5	[(27653,2)]	[(27653,1)]
200	499	5	[(27653,3)]	[(27653,2)]
500	799	5	[(27653,5)]	[(27653,3)]
800	1199	5	[(27653,7)]	[(27653,4)]
1200	1499	5	[(27653,9)]	[(27653,5)]
1500	9999	5	[(27653,12)]	[(27653,6)]
10	199	6	[(27653,2)]	[(27653,1)]
200	499	6	[(27653,3)]	[(27653,2)]
500	799	6	[(27653,5)]	[(27653,3)]
800	1199	6	[(27653,7)]	[(27653,4)]
1200	1499	6	[(27653,9)]	[(27653,5)]
1500	9999	6	[(27653,12)]	[(27653,6)]
