wingId	level	levelUpExp	maxLevel	trainNeedRMB	trainNeedItemCoding	trainAddExp	trainCritOdds	trainCrit	maxhp	attackspeed	anger	attack_p	defense_p	attack_m	defense_m	crit	critpress	antibroken	notbroken	parry	puncture	damageupgrade	damagereduce	resId	name	nameImg	icon
翅膀ID	翅膀等级	升级需要的经验	翅膀最大等级	培养需要的神石	培养需要道具coding	培养增加的经验	培养暴击概率	培养暴击倍数	生命	攻击速度	怒气	物攻	物防	法攻	法防	暴击	免暴	破防	免破	格挡	破挡	增伤	免伤	 羽翼资源id	羽翼名字	名字图片	图标
1	1	2400	20	10	25837	100	1000	3	1480	0	0	500	0	500	0	100	100	0	0	100	100	0	0	92002	白色恋人	YuYi_YY_TextBSLR	baiselianren
1	2	2560	20	10	25837	100	1000	3	1630	0	0	550	0	550	0	110	110	0	0	110	110	0	0	92002	白色恋人	YuYi_YY_TextBSLR	baiselianren
1	3	4800	20	10	25837	100	1000	3	1790	0	0	600	0	600	0	120	120	0	0	120	120	0	0	92002	白色恋人	YuYi_YY_TextBSLR	baiselianren
1	4	7520	20	10	25837	100	1000	3	2030	0	0	680	0	680	0	130	130	0	0	130	130	0	0	92002	白色恋人	YuYi_YY_TextBSLR	baiselianren
1	5	8540	20	10	25837	100	1000	3	2350	0	0	790	0	790	0	150	150	0	0	150	150	0	0	92002	白色恋人	YuYi_YY_TextBSLR	baiselianren
1	6	10780	20	10	25837	100	1000	3	2740	0	0	920	0	920	0	170	170	0	0	170	170	0	0	92002	白色恋人	YuYi_YY_TextBSLR	baiselianren
1	7	13020	20	10	25837	100	1000	3	3220	0	0	1080	0	1080	0	190	190	0	0	190	190	0	0	92002	白色恋人	YuYi_YY_TextBSLR	baiselianren
1	8	14980	20	10	25837	100	1000	3	3780	0	0	1260	0	1260	0	210	210	0	0	210	210	0	0	92002	白色恋人	YuYi_YY_TextBSLR	baiselianren
1	9	17220	20	10	25837	100	1000	3	4420	0	0	1480	0	1480	0	240	240	0	0	240	240	0	0	92002	白色恋人	YuYi_YY_TextBSLR	baiselianren
1	10	20944	20	10	25837	100	1000	3	5140	0	0	1720	0	1720	0	270	270	0	0	270	270	0	0	92002	白色恋人	YuYi_YY_TextBSLR	baiselianren
1	11	25160	20	10	25837	100	1000	3	5580	0	0	1860	0	1860	0	300	300	0	0	300	300	0	0	92002	白色恋人	YuYi_YY_TextBSLR	baiselianren
1	12	29376	20	10	25837	100	1000	3	6100	0	0	2040	0	2040	0	340	340	0	0	340	340	0	0	92002	白色恋人	YuYi_YY_TextBSLR	baiselianren
1	13	33456	20	10	25837	100	1000	3	6670	0	0	2230	0	2230	0	380	380	0	0	380	380	0	0	92002	白色恋人	YuYi_YY_TextBSLR	baiselianren
1	14	37672	20	10	25837	100	1000	3	7310	0	0	2440	0	2440	0	420	420	0	0	420	420	0	0	92002	白色恋人	YuYi_YY_TextBSLR	baiselianren
1	15	40656	20	10	25837	100	1000	3	8010	0	0	2670	0	2670	0	460	460	0	0	460	460	0	0	92002	白色恋人	YuYi_YY_TextBSLR	baiselianren
1	16	121968	20	10	25837	100	1000	3	8790	0	0	2930	0	2930	0	500	500	0	0	500	500	0	0	92002	白色恋人	YuYi_YY_TextBSLR	baiselianren
1	17	162492	20	10	25837	100	1000	3	9650	0	0	3220	0	3220	0	540	540	0	0	540	540	0	0	92002	白色恋人	YuYi_YY_TextBSLR	baiselianren
1	18	203280	20	10	25837	100	1000	3	10600	0	0	3540	0	3540	0	580	580	0	0	580	580	0	0	92002	白色恋人	YuYi_YY_TextBSLR	baiselianren
1	19	235884	20	10	25837	100	1000	3	11620	0	0	3880	0	3880	0	620	620	0	0	620	620	0	0	92002	白色恋人	YuYi_YY_TextBSLR	baiselianren
1	20	0	20	10	25837	100	1000	3	11820	0	0	4300	0	4300	0	680	680	0	0	680	680	0	0	92002	白色恋人	YuYi_YY_TextBSLR	baiselianren
