rewardId	desc	needVIP	level	needZDL	needFill	bugCard	fillNum	cardNum	oneFlyNum	VIPNum	mountNumber	orangeHeroNum	needGemNum	needGemNumDay	TarotNum	TarotNumDay	mountLevel	singleFill	equipNum	TotalGem	totalTaro	MallWing	TotalFill	UnionTreNum	TotalRMB	PetNum	MarryCnt	RingLevel	HefuDay	WingTimes	TogWingTimes	PetTimes	TogPetTimes	needFeedTimes	unionGod	unionFill	petEvoTimes	totalPetTimes	upstartimes	totalUpstar	upordertimes	totalUpOrder	StarGirlLevel	totalStarGirlLevel	StarGirlStar	totalStarGirlStar	dragonLevel	totaldragonLevel	dragonEvo	totaldragonEvo	titleLevel	totaltitleLevel	maxNum	rewardItem	rewardItemShow	rewardTiLi	rewardTarot	rewardHero	bindRMB	money	UnbindRMB_S	Reputation	TaortHP	request	requestNum
奖励ID	奖励描述	领取需要的VIP等级	需要的等级	需要的战斗力	充值过	首冲购买卡（1周卡，2月卡）	首充人数	月卡团购人数	翅膀数（翅膀等级，翅膀个数）	需要VIP人数(达标Vip等级，Vip人数)	需要的坐骑个数（坐骑几阶，坐骑个数（全服））	需要指定橙色英雄数(英雄ID，所需该英雄个数）	商城出售4级宝石数	全服每日商城出售4级宝石数	总高级占卜数	全服每日高级占卜数	骑宠达到的星数	单笔购买的神石数	收集装备套数（套装ID：1-光辉 2-魔魂 3-圣魔魂，套数）	玩家每日购买4级宝石数	玩家每日高级占卜数	商城可购买的翅膀(个数，翅膀列表)	玩家每日累计充值	每日全服开启宝箱数（宝箱类型，数量）：1为金，2为银，3为铜	全服累计消费	宠物数（星数，个数）	结婚对手	领奖需要的婚戒阶数	只能在合服第几天领取	个人每日培养翅膀次数	全服每日培养翅膀次数	个人每日培养宠物次数	全服每日培养宠物次数	需要公会神兽成长	需要通关的公会魔神及次数(魔神ID,挑战次数)	公会累计充值	个人宠物培养	全服累计宠物培养	个人时装升星	全服累计时装升星	个人时装进阶	全服时装进阶	个人星灵升级消耗	全服每日累计星灵升级消耗	个人星灵升星消耗	全服每日累计星灵升星消耗	龙脉升级消耗	全服龙脉升级消耗	个人龙脉进化消耗	全服龙脉进化消耗	个人称号升级消耗	全服称号升级消耗	最大领取数	物品奖励（服务端用）	物品奖励(客户端用）	体力奖励	命魂奖励	英雄奖励	魔晶奖励	金钱奖励	神石奖励	声望奖励	命力奖励	达标人数	达标最大人数（无则不填）
1	30级奖励	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20000	[(35600,1)]	[(35600,1),(25829,20),(25828,3000)]	0	0	0	20	3000	0	0	0		
2	35级奖励	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12000	[(35607,1),(26034,1)]	[(35607,1),(26034,1),(25828,10000)]	0	0	0	0	10000	0	0	0		
3	40级奖励	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2000	[(35608,1),(26034,1)]	[(35608,1),(26034,1),(25828,30000)]	0	0	0	0	30000	0	0	0		
4	45级奖励	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	200	[(35634,1),(26034,2)]	[(35634,1),(26034,2),(25828,50000)]	0	0	0	0	50000	0	0	0		
5	50级奖励	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	[(35635,1),(26035,2)]	[(35635,1),(26035,2),(25829,50)]	0	0	0	50	0	0	0	0		
6	54级奖励	0	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	[(35643,1),(26035,2)]	[(35643,1),(26035,2),(25829,100)]	0	0	0	100	0	0	0	0		
7	57级奖励	0	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	[(35644,1),(26034,2),(26035,2)]	[(35644,1),(26034,2),(26035,2)]	0	0	0	0	0	0	0	0		
8	59级奖励	0	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	[(26034,3),(26035,3)]	[(26034,3),(26035,3)]	0	0	92	0	0	0	0	0		
9	坐骑第1名	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	[(35619,1),(25784,1)]	[(35619,1),(25784,1),(25829,200)]	0	0	0	200	0	0	0	0		
