AwardId	AwardLevel	LeftTime	Money	Award	Money_fcm	Award_fcm
奖励ID	奖励等级	剩余多少时间（秒）	金币奖励	奖励	金币奖励	奖励
1	(30,39)	1500	210000	[(25637,20),(25681,30),(26032,1)]	105000	[(25637,10),(25681,15),(26032,1)]
2	(30,39)	1200	175000	[(25637,15),(25681,25),(26033,1)]	87500	[(25637,8),(25681,13),(26033,1)]
3	(30,39)	900	140000	[(25637,10),(25681,20)]	70000	[(25637,5),(25681,10)]
4	(30,39)	0	105000	[(25637,8),(25681,15)]	52500	[(25637,4),(25681,8)]
5	(30,39)	-1	70000	[(25637,5),(25681,10)]	35000	[(25637,3),(25681,5)]
6	(40,59)	1500	285000	[(25639,20),(25682,30),(26032,1)]	142500	[(25639,10),(25682,15),(26032,1)]
7	(40,59)	1200	237000	[(25639,15),(25682,25),(26033,1)]	118500	[(25639,8),(25682,13),(26033,1)]
8	(40,59)	900	190000	[(25639,10),(25682,20)]	95000	[(25639,5),(25682,10)]
9	(40,59)	0	142000	[(25639,8),(25682,15)]	71000	[(25639,4),(25682,8)]
10	(40,59)	-1	95000	[(25639,5),(25682,10)]	47500	[(25639,3),(25682,5)]
11	(60,79)	1500	360000	[(25640,20),(25683,30),(26032,1)]	180000	[(25640,10),(25683,15),(26033,1)]
12	(60,79)	1200	300000	[(25640,15),(25683,25),(26033,1)]	150000	[(25640,8),(25683,13),(26033,1)]
13	(60,79)	900	240000	[(25640,10),(25683,20)]	120000	[(25640,5),(25683,10)]
14	(60,79)	0	180000	[(25640,8),(25683,15)]	90000	[(25640,4),(25683,8)]
15	(60,79)	-1	120000	[(25640,5),(25683,10)]	60000	[(25640,3),(25683,5)]
16	(80,99)	1500	450000	[(25641,20),(25684,30),(26032,1)]	225000	[(25641,10),(25684,15),(26032,1)]
17	(80,99)	1200	375000	[(25641,15),(25684,25),(26033,1)]	187500	[(25641,8),(25684,13),(26033,1)]
18	(80,99)	900	300000	[(25641,10),(25684,20)]	150000	[(25641,5),(25684,10)]
19	(80,99)	0	225000	[(25641,8),(25684,15)]	112500	[(25641,4),(25684,8)]
20	(80,99)	-1	150000	[(25641,5),(25684,10)]	75000	[(25641,3),(25684,5)]
21	(100,119)	1500	600000	[(25642,20),(25685,30),(26032,1)]	300000	[(25642,10),(25685,15),(26032,1)]
22	(100,119)	1200	500000	[(25642,15),(25685,25),(26033,1)]	250000	[(25642,8),(25685,13),(26033,1)]
23	(100,119)	900	400000	[(25642,10),(25685,20)]	200000	[(25642,5),(25685,10)]
24	(100,119)	0	300000	[(25642,8),(25685,15)]	150000	[(25642,4),(25685,8)]
25	(100,119)	-1	200000	[(25642,5),(25685,10)]	100000	[(25642,3),(25685,5)]
26	(120,139)	1500	750000	[(25642,20),(25686,30),(26032,1)]	375000	[(25642,10),(25686,15),(26032,1)]
27	(120,139)	1200	625000	[(25642,15),(25686,25),(26033,1)]	312500	[(25642,8),(25686,13),(26033,1)]
28	(120,139)	900	500000	[(25642,10),(25686,20)]	250000	[(25642,5),(25686,10)]
29	(120,139)	0	375000	[(25642,8),(25686,15)]	187500	[(25642,4),(25686,8)]
30	(120,139)	-1	250000	[(25642,5),(25686,10)]	125000	[(25642,3),(25686,5)]
31	(140,159)	1500	900000	[(25642,20),(26607,30),(26032,1)]	450000	[(25642,10),(26607,15),(26032,1)]
32	(140,159)	1200	750000	[(25642,15),(26607,25),(26033,1)]	375000	[(25642,8),(26607,13),(26033,1)]
33	(140,159)	900	600000	[(25642,10),(26607,20)]	300000	[(25642,5),(26607,10)]
34	(140,159)	0	450000	[(25642,8),(26607,15)]	225000	[(25642,4),(26607,8)]
35	(140,159)	-1	300000	[(25642,5),(26607,10)]	150000	[(25642,3),(26607,5)]
36	(160,179)	1500	1050000	[(25642,20),(27066,30),(26032,1)]	525000	[(25642,10),(27066,15),(26032,1)]
37	(160,179)	1200	875000	[(25642,15),(27066,25),(26033,1)]	437500	[(25642,8),(27066,13),(26033,1)]
38	(160,179)	900	700000	[(25642,10),(27066,20)]	350000	[(25642,5),(27066,10)]
39	(160,179)	0	525000	[(25642,8),(27066,15)]	262500	[(25642,4),(27066,8)]
40	(160,179)	-1	350000	[(25642,5),(27066,10)]	175000	[(25642,3),(27066,5)]
