rewardId	levelRangeId	levelRange	rewardIndex	rewardItem	rateValue	isPrecious
奖励ID	等级段ID	等级段	奖励索引	奖励道具	随机概率	是否珍稀
1	1	[30,59]	1	(27488,1)	500	1
2	1	[30,59]	2	(26450,1)	400	1
3	1	[30,59]	3	(26033,1)	500	1
4	1	[30,59]	4	(26032,1)	1000	1
5	1	[30,59]	5	(25848,2)	500	1
6	1	[30,59]	6	(27489,1)	100	1
7	1	[30,59]	7	(25600,5)	600	1
8	1	[30,59]	8	(26344,5)	600	1
9	2	[60,179]	1	(27488,1)	650	1
10	2	[60,179]	2	(26450,1)	500	1
11	2	[60,179]	3	(26033,1)	1000	1
12	2	[60,179]	4	(26144,3)	600	1
13	2	[60,179]	5	(25848,2)	1000	1
14	2	[60,179]	6	(27489,1)	130	1
15	2	[60,179]	7	(26119,1)	1000	1
16	2	[60,179]	8	(25837,3)	600	1
