rewardId	levelRangeId	rewardSuitId	rewardIndex	rewardItem	rateValue	isPrecious	isBroad
奖励唯一ID	奖励所属等级段ID	奖励套ID 零-表示道具抽奖奖励 非零-表示神石抽奖奖励	奖励所在奖励套索引	随机奖励	随机概率	是否珍贵奖励	是否广播
1	1	0	1	(27521,1)	0	1	1
2	1	0	2	(27520,1)	0	0	0
3	1	0	3	(27519,1)	800	0	0
4	1	0	4	(27518,1)	3000	0	0
5	1	0	5	(25600,20)	1500	0	0
6	1	0	6	(25600,15)	1500	0	0
7	1	0	7	(26042,1)	1500	0	0
8	1	0	8	(26344,20)	1500	0	0
9	1	0	9	(26344,15)	1500	0	0
10	1	1	1	(27521,1)	200	1	1
11	1	1	2	(27520,1)	400	0	0
12	1	1	3	(27519,1)	800	0	0
13	1	1	4	(27518,1)	3000	0	0
14	1	1	5	(25600,20)	1500	0	0
15	1	1	6	(25600,15)	1500	0	0
16	1	1	7	(26042,1)	1500	0	0
17	1	1	8	(26344,20)	1500	0	0
18	1	1	9	(26344,15)	1500	0	0
19	1	2	1	(27521,1)	200	1	1
20	1	2	2	(27520,1)	400	0	0
21	1	2	3	(27519,1)	800	0	0
22	1	2	4	(27518,1)	3000	0	0
23	1	2	5	(25600,20)	1500	0	0
24	1	2	6	(25600,15)	1500	0	0
25	1	2	7	(26042,1)	1500	0	0
26	1	2	8	(26344,20)	1500	0	0
27	1	2	9	(26344,15)	1500	0	0
28	1	3	1	(27521,1)	200	1	1
29	1	3	2	(27520,1)	400	0	0
30	1	3	3	(27519,1)	800	0	0
31	1	3	4	(27518,1)	3000	0	0
32	1	3	5	(25600,20)	1500	0	0
33	1	3	6	(25600,15)	1500	0	0
34	1	3	7	(26042,1)	1500	0	0
35	1	3	8	(26344,20)	1500	0	0
36	1	3	9	(26344,15)	1500	0	0
37	1	4	1	(27521,1)	200	1	1
38	1	4	2	(27520,1)	400	0	0
39	1	4	3	(27519,1)	800	0	0
40	1	4	4	(27518,1)	3000	0	0
41	1	4	5	(25600,20)	1500	0	0
42	1	4	6	(25600,15)	1500	0	0
43	1	4	7	(26042,1)	1500	0	0
44	1	4	8	(26344,20)	1500	0	0
45	1	4	9	(26344,15)	1500	0	0
46	1	5	1	(27521,1)	200	1	1
47	1	5	2	(27520,1)	400	0	0
48	1	5	3	(27519,1)	800	0	0
49	1	5	4	(27518,1)	3000	0	0
50	1	5	5	(25600,20)	1500	0	0
51	1	5	6	(25600,15)	1500	0	0
52	1	5	7	(26042,1)	1500	0	0
53	1	5	8	(26344,20)	1500	0	0
54	1	5	9	(26344,15)	1500	0	0
55	2	0	1	(27625,1)	0	1	1
56	2	0	2	(27622,1)	600	0	0
57	2	0	3	(27621,1)	1200	0	0
58	2	0	4	(27520,1)	0	0	0
59	2	0	5	(27519,1)	800	0	0
60	2	0	6	(27518,1)	3000	0	0
61	2	0	7	(26144,10)	1500	0	0
62	2	0	8	(26934,6)	1000	0	0
63	2	0	9	(25837,10)	1500	0	0
64	2	0	10	(26485,2)	1500	0	0
65	2	1	1	(27625,1)	60	1	1
66	2	1	2	(27622,1)	600	0	0
67	2	1	3	(27621,1)	1200	0	0
68	2	1	4	(27520,1)	400	0	0
69	2	1	5	(27519,1)	800	0	0
70	2	1	6	(27518,1)	3000	0	0
71	2	1	7	(26144,10)	1500	0	0
72	2	1	8	(26934,6)	1000	0	0
73	2	1	9	(25837,10)	1500	0	0
74	2	1	10	(26485,2)	1500	0	0
75	2	2	1	(27618,1)	60	1	1
76	2	2	2	(27622,1)	600	0	0
77	2	2	3	(27621,1)	1200	0	0
78	2	2	4	(27520,1)	400	0	0
79	2	2	5	(27519,1)	800	0	0
80	2	2	6	(27518,1)	3000	0	0
81	2	2	7	(26144,10)	1500	0	0
82	2	2	8	(26934,6)	1000	0	0
83	2	2	9	(25837,10)	1500	0	0
84	2	2	10	(26485,2)	1500	0	0
85	2	3	1	(28253,1)	25	1	1
86	2	3	2	(27622,1)	600	0	0
87	2	3	3	(27621,1)	1200	0	0
88	2	3	4	(27520,1)	400	0	0
89	2	3	5	(27519,1)	800	0	0
90	2	3	6	(27518,1)	3000	0	0
91	2	3	7	(26144,10)	1500	0	0
92	2	3	8	(26934,6)	1000	0	0
93	2	3	9	(25837,10)	1500	0	0
94	2	3	10	(26485,2)	1500	0	0
95	2	4	1	(27625,1)	60	1	1
96	2	4	2	(27622,1)	600	0	0
97	2	4	3	(27621,1)	1200	0	0
98	2	4	4	(27520,1)	400	0	0
99	2	4	5	(27519,1)	800	0	0
100	2	4	6	(27518,1)	3000	0	0
101	2	4	7	(26144,10)	1500	0	0
102	2	4	8	(26934,6)	1000	0	0
103	2	4	9	(25837,10)	1500	0	0
104	2	4	10	(26485,2)	1500	0	0
105	2	5	1	(27618,1)	60	1	1
106	2	5	2	(27622,1)	600	0	0
107	2	5	3	(27621,1)	1200	0	0
108	2	5	4	(27520,1)	400	0	0
109	2	5	5	(27519,1)	800	0	0
110	2	5	6	(27518,1)	3000	0	0
111	2	5	7	(26144,10)	1500	0	0
112	2	5	8	(26934,6)	1000	0	0
113	2	5	9	(25837,10)	1500	0	0
114	2	5	10	(26485,2)	1500	0	0
115	3	0	1	(27492,1)	0	1	1
116	3	0	2	(28031,1)	360	0	0
117	3	0	3	(28030,1)	720	0	0
118	3	0	4	(28035,1)	2000	0	0
119	3	0	5	(27623,1)	300	0	0
120	3	0	6	(27622,1)	600	0	0
121	3	0	7	(27621,1)	1200	0	0
122	3	0	8	(27167,1)	600	0	0
123	3	0	9	(26448,2)	600	0	0
124	3	0	10	(26447,5)	800	0	0
125	3	0	11	(26934,10)	1000	0	0
126	3	0	12	(26144,12)	1500	0	0
127	3	0	13	(25837,12)	1500	0	0
128	3	0	14	(26485,2)	1500	0	0
129	3	0	15	(26302,10)	1500	0	0
130	3	1	1	(27492,1)	32	1	1
131	3	1	2	(28031,1)	360	0	0
132	3	1	3	(28030,1)	720	0	0
133	3	1	4	(28035,1)	2000	0	0
134	3	1	5	(27623,1)	300	0	0
135	3	1	6	(27622,1)	600	0	0
136	3	1	7	(27621,1)	1200	0	0
137	3	1	8	(27167,1)	600	0	0
138	3	1	9	(26448,2)	600	0	0
139	3	1	10	(26447,5)	800	0	0
140	3	1	11	(26934,10)	1000	0	0
141	3	1	12	(26144,12)	1500	0	0
142	3	1	13	(25837,12)	1500	0	0
143	3	1	14	(26485,2)	1500	0	0
144	3	1	15	(26302,10)	1500	0	0
145	3	2	1	(27626,1)	60	1	1
146	3	2	2	(28031,1)	360	0	0
147	3	2	3	(28030,1)	720	0	0
148	3	2	4	(28035,1)	2000	0	0
149	3	2	5	(27623,1)	300	0	0
150	3	2	6	(27622,1)	600	0	0
151	3	2	7	(27621,1)	1200	0	0
152	3	2	8	(27167,1)	600	0	0
153	3	2	9	(26448,2)	600	0	0
154	3	2	10	(26447,5)	800	0	0
155	3	2	11	(26934,10)	1000	0	0
156	3	2	12	(26144,12)	1500	0	0
157	3	2	13	(25837,12)	1500	0	0
158	3	2	14	(26485,2)	1500	0	0
159	3	2	15	(26302,10)	1500	0	0
160	3	3	1	(28043,1)	50	1	1
161	3	3	2	(28031,1)	360	0	0
162	3	3	3	(28030,1)	720	0	0
163	3	3	4	(28035,1)	2000	0	0
164	3	3	5	(27623,1)	300	0	0
165	3	3	6	(27622,1)	600	0	0
166	3	3	7	(27621,1)	1200	0	0
167	3	3	8	(27167,1)	600	0	0
168	3	3	9	(26448,2)	600	0	0
169	3	3	10	(26447,5)	800	0	0
170	3	3	11	(26934,10)	1000	0	0
171	3	3	12	(26144,12)	1500	0	0
172	3	3	13	(25837,12)	1500	0	0
173	3	3	14	(26485,2)	1500	0	0
174	3	3	15	(26302,10)	1500	0	0
175	3	4	1	(28254,1)	25	1	1
176	3	4	2	(28031,1)	360	0	0
177	3	4	3	(28030,1)	720	0	0
178	3	4	4	(28035,1)	2000	0	0
179	3	4	5	(27623,1)	300	0	0
180	3	4	6	(27622,1)	600	0	0
181	3	4	7	(27621,1)	1200	0	0
182	3	4	8	(27167,1)	600	0	0
183	3	4	9	(26448,2)	600	0	0
184	3	4	10	(26447,5)	800	0	0
185	3	4	11	(26934,10)	1000	0	0
186	3	4	12	(26144,12)	1500	0	0
187	3	4	13	(25837,12)	1500	0	0
188	3	4	14	(26485,2)	1500	0	0
189	3	4	15	(26302,10)	1500	0	0
190	3	5	1	(27619,1)	70	1	1
191	3	5	2	(28031,1)	360	0	0
192	3	5	3	(28030,1)	720	0	0
193	3	5	4	(28035,1)	2000	0	0
194	3	5	5	(27623,1)	300	0	0
195	3	5	6	(27622,1)	600	0	0
196	3	5	7	(27621,1)	1200	0	0
197	3	5	8	(27167,1)	600	0	0
198	3	5	9	(26448,2)	600	0	0
199	3	5	10	(26447,5)	800	0	0
200	3	5	11	(26934,10)	1000	0	0
201	3	5	12	(26144,12)	1500	0	0
202	3	5	13	(25837,12)	1500	0	0
203	3	5	14	(26485,2)	1500	0	0
204	3	5	15	(26302,10)	1500	0	0
205	4	0	1	(27492,1)	0	1	1
206	4	0	2	(28376,1)	0	0	1
207	4	0	3	(28032,1)	300	0	0
208	4	0	4	(28031,1)	600	0	0
209	4	0	5	(28030,1)	2000	0	0
210	4	0	6	(27167,1)	600	0	0
211	4	0	7	(26676,1)	1000	0	0
212	4	0	8	(26302,15)	2000	0	0
213	4	0	9	(26298,2)	600	0	0
214	4	0	10	(26448,2)	600	0	0
215	4	0	11	(26447,5)	800	0	0
216	4	0	12	(26677,10)	1500	0	0
217	4	0	13	(27042,8)	1200	0	0
218	4	0	14	(26144,15)	2000	0	0
219	4	0	15	(25837,15)	2000	0	0
220	4	1	1	(27492,1)	33	1	1
221	4	1	2	(28376,1)	200	0	1
222	4	1	3	(28032,1)	300	0	0
223	4	1	4	(28031,1)	600	0	0
224	4	1	5	(28030,1)	2000	0	0
225	4	1	6	(27167,1)	600	0	0
226	4	1	7	(26676,1)	1000	0	0
227	4	1	8	(26302,15)	2000	0	0
228	4	1	9	(26298,2)	600	0	0
229	4	1	10	(26448,2)	600	0	0
230	4	1	11	(26447,5)	800	0	0
231	4	1	12	(26677,10)	1500	0	0
232	4	1	13	(27042,8)	1200	0	0
233	4	1	14	(26144,15)	2000	0	0
234	4	1	15	(25837,15)	2000	0	0
235	4	2	1	(27713,1)	33	1	1
236	4	2	2	(28376,1)	200	0	1
237	4	2	3	(28032,1)	300	0	0
238	4	2	4	(28031,1)	600	0	0
239	4	2	5	(28030,1)	2000	0	0
240	4	2	6	(27167,1)	600	0	0
241	4	2	7	(26676,1)	1000	0	0
242	4	2	8	(26302,15)	2000	0	0
243	4	2	9	(26298,2)	600	0	0
244	4	2	10	(26448,2)	600	0	0
245	4	2	11	(26447,5)	800	0	0
246	4	2	12	(26677,10)	1500	0	0
247	4	2	13	(27042,8)	1200	0	0
248	4	2	14	(26144,15)	2000	0	0
249	4	2	15	(25837,15)	2000	0	0
250	4	3	1	(28044,1)	50	1	1
251	4	3	2	(28376,1)	200	0	1
252	4	3	3	(28032,1)	300	0	0
253	4	3	4	(28031,1)	600	0	0
254	4	3	5	(28030,1)	2000	0	0
255	4	3	6	(27167,1)	600	0	0
256	4	3	7	(26676,1)	1000	0	0
257	4	3	8	(26302,15)	2000	0	0
258	4	3	9	(26298,2)	600	0	0
259	4	3	10	(26448,2)	600	0	0
260	4	3	11	(26447,5)	800	0	0
261	4	3	12	(26677,10)	1500	0	0
262	4	3	13	(27042,8)	1200	0	0
263	4	3	14	(26144,15)	2000	0	0
264	4	3	15	(25837,15)	2000	0	0
265	4	4	1	(28254,1)	27	1	1
266	4	4	2	(28376,1)	200	0	1
267	4	4	3	(28032,1)	300	0	0
268	4	4	4	(28031,1)	600	0	0
269	4	4	5	(28030,1)	2000	0	0
270	4	4	6	(27167,1)	600	0	0
271	4	4	7	(26676,1)	1000	0	0
272	4	4	8	(26302,15)	2000	0	0
273	4	4	9	(26298,2)	600	0	0
274	4	4	10	(26448,2)	600	0	0
275	4	4	11	(26447,5)	800	0	0
276	4	4	12	(26677,10)	1500	0	0
277	4	4	13	(27042,8)	1200	0	0
278	4	4	14	(26144,15)	2000	0	0
279	4	4	15	(25837,15)	2000	0	0
280	4	5	1	(28816,1)	33	1	1
281	4	5	2	(28376,1)	200	0	1
282	4	5	3	(28032,1)	300	0	0
283	4	5	4	(28031,1)	600	0	0
284	4	5	5	(28030,1)	2000	0	0
285	4	5	6	(27167,1)	600	0	0
286	4	5	7	(26676,1)	1000	0	0
287	4	5	8	(26302,15)	2000	0	0
288	4	5	9	(26298,2)	600	0	0
289	4	5	10	(26448,2)	600	0	0
290	4	5	11	(26447,5)	800	0	0
291	4	5	12	(26677,10)	1500	0	0
292	4	5	13	(27042,8)	1200	0	0
293	4	5	14	(26144,15)	2000	0	0
294	4	5	15	(25837,15)	2000	0	0
