rewardId	score	levelRange	rewardItem	bindRMB	giftPreView
奖励id	积分	玩家等级	奖励	奖励魔晶	客户端奖励预览
1	1200	[1,39]	[(27481,2),(25681,20),(29229,1)]	20	[(29229,1),(27481,2),(25681,20),(25829,20)]
2	2000	[1,39]	[(27481,3),(25681,30),(29229,1)]	30	[(29229,1),(27481,3),(25681,30),(25829,30)]
3	3000	[1,39]	[(27481,4),(27482,1),(25681,50),(29229,1)]	50	[(29229,1),(27481,4),(27482,1),(25681,50),(25829,50)]
1	1200	[40,59]	[(27481,2),(25682,20),(29229,1)]	20	[(29229,1),(27481,2),(25682,20),(25829,20)]
2	2000	[40,59]	[(27481,3),(25682,30),(29229,1)]	30	[(29229,1),(27481,3),(25682,30),(25829,30)]
3	3000	[40,59]	[(27481,4),(27482,1),(25682,50),(29229,1)]	50	[(29229,1),(27481,4),(27482,1),(25682,50),(25829,50)]
1	1200	[60,79]	[(27481,2),(25683,20),(29229,1)]	20	[(29229,1),(27481,2),(25683,20),(25829,20)]
2	2000	[60,79]	[(27481,3),(25683,30),(29229,1)]	30	[(29229,1),(27481,3),(25683,30),(25829,30)]
3	3000	[60,79]	[(27481,4),(27482,1),(25683,50),(29229,1)]	50	[(29229,1),(27481,4),(27482,1),(25683,50),(25829,50)]
1	1200	[80,99]	[(27481,2),(25684,20),(29229,1)]	20	[(29229,1),(27481,2),(25684,20),(25829,20)]
2	2000	[80,99]	[(27481,3),(25684,30),(29229,1)]	30	[(29229,1),(27481,3),(25684,30),(25829,30)]
3	3000	[80,99]	[(27481,4),(27482,1),(25684,50),(29229,1)]	50	[(29229,1),(27481,4),(27482,1),(25684,50),(25829,50)]
1	1200	[100,119]	[(27481,2),(25685,20),(29229,1)]	20	[(29229,1),(27481,2),(25685,20),(25829,20)]
2	2000	[100,119]	[(27481,3),(25685,30),(29229,1)]	30	[(29229,1),(27481,3),(25685,30),(25829,30)]
3	3000	[100,119]	[(27481,4),(27482,1),(25685,50),(29229,1)]	50	[(29229,1),(27481,4),(27482,1),(25685,50),(25829,50)]
1	1200	[120,139]	[(27481,2),(25686,20),(29229,1)]	20	[(29229,1),(27481,2),(25686,20),(25829,20)]
2	2000	[120,139]	[(27481,3),(25686,30),(29229,1)]	30	[(29229,1),(27481,3),(25686,30),(25829,30)]
3	3000	[120,139]	[(27481,4),(27482,1),(25686,50),(29229,1)]	50	[(29229,1),(27481,4),(27482,1),(25686,50),(25829,50)]
1	1200	[140,159]	[(27481,2),(26607,20),(29229,1)]	20	[(29229,1),(27481,2),(26607,20),(25829,20)]
2	2000	[140,159]	[(27481,3),(26607,30),(29229,1)]	30	[(29229,1),(27481,3),(26607,30),(25829,30)]
3	3000	[140,159]	[(27481,4),(27482,1),(26607,50),(29229,1)]	50	[(29229,1),(27481,4),(27482,1),(26607,50),(25829,50)]
1	1200	[160,179]	[(27481,2),(27066,20),(29229,1)]	20	[(29229,1),(27481,2),(27066,20),(25829,20)]
2	2000	[160,179]	[(27481,3),(27066,30),(29229,1)]	30	[(29229,1),(27481,3),(27066,30),(25829,30)]
3	3000	[160,179]	[(27481,4),(27482,1),(27066,50),(29229,1)]	50	[(29229,1),(27481,4),(27482,1),(27066,50),(25829,50)]
