rank	level	rewardItem
排名	玩家等级	奖励物品
1	1	[(27481,5),(27482,1),(25681,200),(25661,100)]
2	1	[(27481,4),(27482,1),(25681,150),(25661,75)]
3	1	[(27481,3),(27482,1),(25681,100),(25661,50)]
4	1	[(27481,3),(25681,80),(25661,40)]
5	1	[(27481,3),(25681,80),(25661,40)]
6	1	[(27481,3),(25681,80),(25661,40)]
7	1	[(27481,3),(25681,80),(25661,40)]
8	1	[(27481,3),(25681,80),(25661,40)]
9	1	[(27481,3),(25681,80),(25661,40)]
10	1	[(27481,3),(25681,80),(25661,40)]
11	1	[(27481,2),(25681,60),(25661,30)]
12	1	[(27481,2),(25681,60),(25661,30)]
13	1	[(27481,2),(25681,60),(25661,30)]
14	1	[(27481,2),(25681,60),(25661,30)]
15	1	[(27481,2),(25681,60),(25661,30)]
16	1	[(27481,2),(25681,60),(25661,30)]
17	1	[(27481,2),(25681,60),(25661,30)]
18	1	[(27481,2),(25681,60),(25661,30)]
19	1	[(27481,2),(25681,60),(25661,30)]
20	1	[(27481,2),(25681,60),(25661,30)]
1	2	[(27481,5),(27482,1),(25681,200),(25661,100)]
2	2	[(27481,4),(27482,1),(25681,150),(25661,75)]
3	2	[(27481,3),(27482,1),(25681,100),(25661,50)]
4	2	[(27481,3),(25681,80),(25661,40)]
5	2	[(27481,3),(25681,80),(25661,40)]
6	2	[(27481,3),(25681,80),(25661,40)]
7	2	[(27481,3),(25681,80),(25661,40)]
8	2	[(27481,3),(25681,80),(25661,40)]
9	2	[(27481,3),(25681,80),(25661,40)]
10	2	[(27481,3),(25681,80),(25661,40)]
11	2	[(27481,2),(25681,60),(25661,30)]
12	2	[(27481,2),(25681,60),(25661,30)]
13	2	[(27481,2),(25681,60),(25661,30)]
14	2	[(27481,2),(25681,60),(25661,30)]
15	2	[(27481,2),(25681,60),(25661,30)]
16	2	[(27481,2),(25681,60),(25661,30)]
17	2	[(27481,2),(25681,60),(25661,30)]
18	2	[(27481,2),(25681,60),(25661,30)]
19	2	[(27481,2),(25681,60),(25661,30)]
20	2	[(27481,2),(25681,60),(25661,30)]
1	3	[(27481,5),(27482,1),(25681,200),(25661,100)]
2	3	[(27481,4),(27482,1),(25681,150),(25661,75)]
3	3	[(27481,3),(27482,1),(25681,100),(25661,50)]
4	3	[(27481,3),(25681,80),(25661,40)]
5	3	[(27481,3),(25681,80),(25661,40)]
6	3	[(27481,3),(25681,80),(25661,40)]
7	3	[(27481,3),(25681,80),(25661,40)]
8	3	[(27481,3),(25681,80),(25661,40)]
9	3	[(27481,3),(25681,80),(25661,40)]
10	3	[(27481,3),(25681,80),(25661,40)]
11	3	[(27481,2),(25681,60),(25661,30)]
12	3	[(27481,2),(25681,60),(25661,30)]
13	3	[(27481,2),(25681,60),(25661,30)]
14	3	[(27481,2),(25681,60),(25661,30)]
15	3	[(27481,2),(25681,60),(25661,30)]
16	3	[(27481,2),(25681,60),(25661,30)]
17	3	[(27481,2),(25681,60),(25661,30)]
18	3	[(27481,2),(25681,60),(25661,30)]
19	3	[(27481,2),(25681,60),(25661,30)]
20	3	[(27481,2),(25681,60),(25661,30)]
1	4	[(27481,5),(27482,1),(25681,200),(25661,100)]
2	4	[(27481,4),(27482,1),(25681,150),(25661,75)]
3	4	[(27481,3),(27482,1),(25681,100),(25661,50)]
4	4	[(27481,3),(25681,80),(25661,40)]
