lvl	r_item	r_money	w_item	w_money
玩家等级	答对奖励物品	答对金币	答错奖励物品	答错金币
30	[(25637,1)]	4666		2333
31	[(25637,1)]	5066		2533
32	[(25637,1)]	5466		2733
33	[(25637,1)]	5866		2933
34	[(25637,1)]	6266		3133
35	[(25637,1)]	7066		3533
36	[(25637,1)]	7466		3733
37	[(25637,1)]	7866		3933
38	[(25637,1)]	8266		4133
39	[(25637,1)]	8666		4333
40	[(25639,1)]	9375		4687
41	[(25639,1)]	9479		4739
42	[(25639,1)]	9583		4791
43	[(25639,1)]	9687		4843
44	[(25639,1)]	9791		4895
45	[(25639,1)]	9895		4947
46	[(25639,1)]	10000		5000
47	[(25639,1)]	10104		5052
48	[(25639,1)]	10208		5104
49	[(25639,1)]	10312		5156
50	[(25639,1)]	10520		5260
51	[(25639,1)]	10625		5312
52	[(25639,1)]	10729		5364
53	[(25639,1)]	10833		5416
54	[(25639,1)]	10937		5468
55	[(25639,1)]	11041		5520
56	[(25639,1)]	11145		5572
57	[(25639,1)]	11250		5625
58	[(25639,1)]	11354		5677
59	[(25639,1)]	11458		5729
60	[(25640,1)]	11625		5812
61	[(25640,1)]	11754		5877
62	[(25640,1)]	11883		5941
63	[(25640,1)]	12012		6006
64	[(25640,1)]	12141		6070
65	[(25640,1)]	12270		6135
66	[(25640,1)]	12400		6200
67	[(25640,1)]	12529		6264
68	[(25640,1)]	12658		6329
69	[(25640,1)]	12787		6393
70	[(25640,1)]	13045		6522
71	[(25640,1)]	13175		6587
72	[(25640,1)]	13304		6652
73	[(25640,1)]	13433		6716
74	[(25640,1)]	13562		6781
75	[(25640,1)]	13691		6845
76	[(25640,1)]	13820		6910
77	[(25640,1)]	13950		6975
78	[(25640,1)]	14079		7039
79	[(25640,1)]	14208		7104
80	[(25641,1)]	14350		7175
81	[(25641,1)]	14965		7482
82	[(25641,1)]	15580		7790
83	[(25641,1)]	16195		8097
84	[(25641,1)]	16810		8405
85	[(25641,1)]	17425		8712
86	[(25641,1)]	18040		9020
87	[(25641,1)]	18655		9327
88	[(25641,1)]	19270		9635
89	[(25641,1)]	19885		9942
90	[(25641,1)]	21115		10557
91	[(25641,1)]	21730		10865
92	[(25641,1)]	22345		11172
93	[(25641,1)]	22960		11480
94	[(25641,1)]	23575		11787
95	[(25641,1)]	24190		12095
96	[(25641,1)]	24805		12402
97	[(25641,1)]	25420		12710
98	[(25641,1)]	26035		13017
99	[(25641,1)]	26650		13325
100	[(25642,1)]	27333		13666
101	[(25642,1)]	28016		14008
102	[(25642,1)]	28700		14350
103	[(25642,1)]	29383		14691
104	[(25642,1)]	30066		15033
105	[(25642,1)]	30750		15375
106	[(25642,1)]	31433		15716
107	[(25642,1)]	32116		16058
108	[(25642,1)]	32800		16400
109	[(25642,1)]	33483		16741
110	[(25642,1)]	34850		17425
111	[(25642,1)]	35533		17766
112	[(25642,1)]	36216		18108
113	[(25642,1)]	36900		18450
114	[(25642,1)]	37583		18791
115	[(25642,1)]	38266		19133
116	[(25642,1)]	38950		19475
117	[(25642,1)]	39633		19816
118	[(25642,1)]	40316		20158
119	[(25642,1)]	41000		20500
120	[(25642,1)]	40666		20333
121	[(25642,1)]	41200		20600
122	[(25642,1)]	41733		20866
123	[(25642,1)]	42266		21133
124	[(25642,1)]	42800		21400
125	[(25642,1)]	43333		21666
126	[(25642,1)]	43866		21933
127	[(25642,1)]	44400		22200
128	[(25642,1)]	44933		22466
129	[(25642,1)]	45466		22733
130	[(25642,1)]	46000		23000
131	[(25642,1)]	46533		23266
132	[(25642,1)]	47066		23533
133	[(25642,1)]	47600		23800
134	[(25642,1)]	48133		24066
135	[(25642,1)]	48666		24333
136	[(25642,1)]	49200		24600
137	[(25642,1)]	49733		24866
138	[(25642,1)]	50266		25133
139	[(25642,1)]	50800		25400
140	[(25642,1)]	51333		25666
141	[(25642,1)]	51867		25933
142	[(25642,1)]	52400		26200
143	[(25642,1)]	52933		26466
144	[(25642,1)]	53467		26733
145	[(25642,1)]	54067		27033
146	[(25642,1)]	54667		27333
147	[(25642,1)]	55267		27633
148	[(25642,1)]	55867		27933
149	[(25642,1)]	56467		28233
150	[(25642,1)]	57067		28533
151	[(25642,1)]	57667		28833
152	[(25642,1)]	58267		29133
153	[(25642,1)]	58867		29433
154	[(25642,1)]	59467		29733
155	[(25642,1)]	60067		30033
156	[(25642,1)]	60667		30333
157	[(25642,1)]	61267		30633
158	[(25642,1)]	61867		30933
159	[(25642,1)]	62467		31233
160	[(25642,1)]	62800		31400
161	[(25642,1)]	63133		31566
162	[(25642,1)]	63467		31733
163	[(25642,1)]	63800		31900
164	[(25642,1)]	64133		32066
165	[(25642,1)]	64467		32233
166	[(25642,1)]	64800		32400
167	[(25642,1)]	65133		32566
168	[(25642,1)]	65467		32733
169	[(25642,1)]	65800		32900
170	[(25642,1)]	66133		33066
171	[(25642,1)]	66467		33233
172	[(25642,1)]	66800		33400
173	[(25642,1)]	67133		33566
174	[(25642,1)]	67467		33733
175	[(25642,1)]	67800		33900
176	[(25642,1)]	68133		34066
177	[(25642,1)]	68467		34233
178	[(25642,1)]	68800		34400
179	[(25642,1)]	69133		34566
