global_level	exam_type
世界等级	对应的最大题目类型
0	30
1	30
2	30
3	30
4	30
5	30
6	30
7	30
8	30
9	30
10	30
11	30
12	30
13	30
14	30
15	30
16	30
17	30
18	30
19	30
20	30
21	30
22	30
23	30
24	30
25	30
26	30
27	30
28	30
29	30
30	30
31	30
32	30
33	30
34	30
35	30
36	30
37	30
38	30
39	30
40	40
41	40
42	40
43	40
44	40
45	40
46	40
47	40
48	40
49	40
50	40
51	50
52	50
53	50
54	50
55	50
56	50
57	50
58	50
59	50
60	60
61	60
62	60
63	60
64	60
65	60
66	60
67	60
68	60
69	60
70	60
71	70
72	70
73	70
74	70
75	70
76	70
77	70
78	70
79	70
80	80
81	80
82	80
83	80
84	80
85	80
86	80
87	80
88	80
89	80
90	90
91	90
92	90
93	90
94	90
95	90
96	90
97	90
98	90
99	90
100	100
101	100
102	100
103	100
104	100
105	100
106	100
107	100
108	100
109	100
110	110
111	110
112	110
113	110
114	110
115	110
116	110
117	110
118	110
119	110
120	110
121	110
122	110
123	110
124	110
125	110
126	110
127	110
128	110
129	110
130	110
131	110
132	110
133	110
134	110
135	110
136	110
137	110
138	110
139	110
140	110
141	110
142	110
143	110
144	110
145	110
146	110
147	110
148	110
149	110
150	110
151	110
152	110
153	110
154	110
155	110
156	110
157	110
158	110
159	110
160	110
161	110
162	110
163	110
164	110
165	110
166	110
167	110
168	110
169	110
170	110
171	110
172	110
173	110
174	110
175	110
176	110
177	110
178	110
179	110
