global_level	exam_type
世界等级	对应的最大题目类型
0	900
1	900
2	900
3	900
4	900
5	900
6	900
7	900
8	900
9	900
10	900
11	900
12	900
13	900
14	900
15	900
16	900
17	900
18	900
19	900
20	900
21	900
22	900
23	900
24	900
25	900
26	900
27	900
28	900
29	900
30	900
31	900
32	900
33	900
34	900
35	900
36	900
37	900
38	900
39	900
40	900
41	900
42	900
43	900
44	900
45	900
46	900
47	900
48	900
49	900
50	900
51	900
52	900
53	900
54	900
55	900
56	900
57	900
58	900
59	900
60	900
61	900
62	900
63	900
64	900
65	900
66	900
67	900
68	900
69	900
70	900
71	900
72	900
73	900
74	900
75	900
76	900
77	900
78	900
79	900
80	900
81	900
82	900
83	900
84	900
85	900
86	900
87	900
88	900
89	900
90	900
91	900
92	900
93	900
94	900
95	900
96	900
97	900
98	900
99	900
100	900
101	900
102	900
103	900
104	900
105	900
106	900
107	900
108	900
109	900
110	900
111	900
112	900
113	900
114	900
115	900
116	900
117	900
118	900
119	900
120	900
121	900
122	900
123	900
124	900
125	900
126	900
127	900
128	900
129	900
130	900
131	900
132	900
133	900
134	900
135	900
136	900
137	900
138	900
139	900
140	900
141	900
142	900
143	900
144	900
145	900
146	900
147	900
148	900
149	900
150	900
151	900
152	900
153	900
154	900
155	900
156	900
157	900
158	900
159	900
160	900
161	900
162	900
163	900
164	900
165	900
166	900
167	900
168	900
169	900
170	900
171	900
172	900
173	900
174	900
175	900
176	900
177	900
178	900
179	900
