source_text	target_text	need_translate
原文	译文	是否需要重新翻译
     #C(#00EE00)击败光射手[{0}/1]	     #C(#00EE00)Derrota Pistolero relámpago[{0}/1]	0
     #C(#00EE00)击败凶残劫匪[{0}/1]	     #C(#00EE00)Derrota Ladrón salvaje[{0}/1]	0
     #C(#00EE00)击败刺客 [{0}/1]#H     击败护卫[{1}/1]#H	     #C(#00EE00)Derrota Asesino[{0}/1]#H     Derrota Guardián[{1}/1]#H	0
     #C(#00EE00)击败刺客[{0}/1]#H     击败女刺客[{1}/1]#H	     #C(#00EE00)Derrota Asesino[{0}/1]#H     Derrota Asesina[{1}/1]#H	0
     #C(#00EE00)击败刺客[{0}/1]#H     击败护卫 [{1}/1]#H	     #C(#00EE00)Derrota Asesino[{0}/1]#H     Derrota Guardián[{1}/1]#H	0
     #C(#00EE00)击败刺客头领[{0}/1]#H     击败强盗头子[{1}/1]#H	     #C(#00EE00)Derrota Asesino[{0}/1]#H     Derrota Líder de los bandidos[{1}/1]#H	0
     #C(#00EE00)击败劫匪[{0}/1]    	     #C(#00EE00)Derrota Ladrón[{0}/1]    	0
     #C(#00EE00)击败劫匪[{0}/1]#H     击败守卫[{1}/1]#H	     #C(#00EE00)Derrota Ladrón[{0}/1]#H     Derrota Guardián[{1}/1]#H	0
     #C(#00EE00)击败喽啰[{0}/1]#H     击败光射手[{1}/1]#H	     #C(#00EE00)Derrota Subordinados[{0}/1]#H     Derrota Guardián[{1}/1]#H	0
     #C(#00EE00)击败女刺客[{0}/1]#H     击败强盗[{1}/1]#H	     #C(#00EE00)Derrota Asesina[{0}/1]#H     Derrota Bandido[{1}/1]#H	0
     #C(#00EE00)击败女射手[{0}/1]#H     击败神射手[{1}/1]#H     击败弓箭手[{2}/1]#H     击败媚射手[{3}/1]#n	     #C(#00EE00) Derrota Tiradoras[{0}/1]#H Derrota Tiradores[{1}/1]#H Derrota Sagitarios[{2}/1]#H Derrota Arqueros Encantados[{3}/1]#n	0
     #C(#00EE00)击败妖姬[{0}/1]#H     击败打手[{1}/1]#H	     #C(#00EE00)Derrota Hechizera[{0}/1]#H     Derrota Secuaz[{1}/1]#H	0
     #C(#00EE00)击败守卫[{0}/1]#H     击败凶残劫匪[{1}/1]#H	     #C(#00EE00)Derrota Guardián[{0}/1]#H     Derrota Ladrón salvaje[{1}/1]#H	0
     #C(#00EE00)击败小四[{0}/1]#H     击败小五[{1}/1]#H     击败小六[{2}/1]#H     击败小七[{3}/1]#n	     #C(#00EE00) Derrota Orells[{0}/1]#H Derrota Duncans[{1}/1]#H Derrota Morris[{2}/1]#H Derrota Archies[{3}/1]#n	0
     #C(#00EE00)击败强盗[{0}/1]	     #C(#00EE00)Derrota Bandido[{0}/1]	0
     #C(#00EE00)击败强盗头子[{0}/1]#H     击败强盗 [{1}/1]#H	     #C(#00EE00)Derrota Líder de los bandidos[{0}/1]#H     Derrota Bandido[{1}/1]#H	0
     #C(#00EE00)击败暗射手[{0}/1]	     #C(#00EE00)Derrota Pistolero oscuro[{0}/1]	0
     #C(#00EE00)击败暗射手[{0}/1]#H     击败喽啰[{1}/1]#H	     #C(#00EE00)Derrota Pistolero oscuro[{0}/1]#H     Derrota Subordinado [{1}/1]#H	0
     #C(#00EE00)击败杀手[{0}/1]	     #C(#00EE00)Derrota Exterminador [{0}/1]	0
     #C(#00EE00)击败杀手[{0}/1]#H     击败女刺客 [{1}/1]#H	     #C(#00EE00)Derrota Exterminador[{0}/1]#H     Derrota Asesina[{1}/1]#H	0
     #C(#00EE00)击败杀手[{0}/1]#H     击败女刺客[{1}/1]#H	     #C(#00EE00)Derrota Exterminador[{0}/1]#H     Derrota Asesina[{1}/1]#H	0
     #C(#00EE00)击败艳后[{0}/1]	     #C(#00EE00)Derrota Reina seductiva[{0}/1]	0
     #C(#00EE00)击败艳后[{0}/1]#H     击败刺客[{1}/1]#H	     #C(#00EE00)Derrota Reina seductiva[{0}/1]#H     Derrota Asesino[{1}/1]#H	0
     #C(#00EE00)击败阿大[{0}/1]#H     击败阿二[{1}/1]#H     击败阿三[{2}/1]#H     击败阿末[{3}/1]#n	#C(#00EE00) Derrota ArPrueba[{0}/1]#H  Derrota Urmont[{1}/1]#H  Derrota Arson[{2}/1]#H  Derrota Tyras[{3}/1]#n	0
