source_text	target_text	need_translate
原文	译文	是否需要重新翻译
     #C(#00EE00)击败光射手[{0}/1]	     #C(#00EE00)擊敗光射手[{0}/1]	0
     #C(#00EE00)击败凶残劫匪[{0}/1]	     #C(#00EE00)擊敗兇殘劫匪[{0}/1]	0
     #C(#00EE00)击败刺客 [{0}/1]#H     击败护卫[{1}/1]#H	     #C(#00EE00)擊敗刺客 [{0}/1]#H     擊敗護衛[{1}/1]#H	0
     #C(#00EE00)击败刺客[{0}/1]#H     击败女刺客[{1}/1]#H	     #C(#00EE00)擊敗刺客[{0}/1]#H     擊敗女刺客[{1}/1]#H	0
     #C(#00EE00)击败刺客[{0}/1]#H     击败护卫 [{1}/1]#H	     #C(#00EE00)擊敗刺客[{0}/1]#H     擊敗護衛 [{1}/1]#H	0
     #C(#00EE00)击败刺客头领[{0}/1]#H     击败强盗头子[{1}/1]#H	     #C(#00EE00)擊敗刺客頭領[{0}/1]#H     擊敗強盜頭子[{1}/1]#H	0
     #C(#00EE00)击败劫匪[{0}/1]    	     #C(#00EE00)擊敗劫匪[{0}/1]	0
     #C(#00EE00)击败劫匪[{0}/1]#H     击败守卫[{1}/1]#H	     #C(#00EE00)擊敗劫匪[{0}/1]#H     擊敗守衛[{1}/1]#H	0
     #C(#00EE00)击败喽啰[{0}/1]#H     击败光射手[{1}/1]#H	     #C(#00EE00)擊敗嘍囉[{0}/1]#H     擊敗光射手[{1}/1]#H	0
     #C(#00EE00)击败女刺客[{0}/1]#H     击败强盗[{1}/1]#H	     #C(#00EE00)擊敗女刺客[{0}/1]#H     擊敗強盜[{1}/1]#H	0
     #C(#00EE00)击败女射手[{0}/1]#H     击败神射手[{1}/1]#H     击败弓箭手[{2}/1]#H     击败媚射手[{3}/1]#n	     #C(#00EE00)擊敗女射手[{0}/1]#H     擊敗神射手[{1}/1]#H     擊敗弓箭手[{2}/1]#H     擊敗媚射手[{3}/1]#n	0
     #C(#00EE00)击败妖姬[{0}/1]#H     击败打手[{1}/1]#H	     #C(#00EE00)擊敗妖姬[{0}/1]#H     擊敗打手[{1}/1]#H	0
     #C(#00EE00)击败守卫[{0}/1]#H     击败凶残劫匪[{1}/1]#H	     #C(#00EE00)擊敗守衛[{0}/1]#H     擊敗兇殘劫匪[{1}/1]#H	0
     #C(#00EE00)击败小四[{0}/1]#H     击败小五[{1}/1]#H     击败小六[{2}/1]#H     击败小七[{3}/1]#n	     #C(#00EE00)擊敗小四[{0}/1]#H     擊敗小五[{1}/1]#H     擊敗小六[{2}/1]#H     擊敗小七[{3}/1]#n	0
     #C(#00EE00)击败强盗[{0}/1]	     #C(#00EE00)擊敗強盜[{0}/1]	0
