source_text	target_text	need_translate
原文	译文	是否需要重新翻译
     #C(#00EE00)击败光射手[{0}/1]	 #C(#00EE00)Işık Okçusunu yen[{0}/1]	0
     #C(#00EE00)击败凶残劫匪[{0}/1]	 #C(#00EE00)Vahşi Hırsızı yen[{0}/1]	0
     #C(#00EE00)击败刺客 [{0}/1]#H     击败护卫[{1}/1]#H	 #C(#00EE00)Suikastçıyı yen[{0}/1]#H Muhafızı yen[{1}/1]#H	0
     #C(#00EE00)击败刺客[{0}/1]#H     击败女刺客[{1}/1]#H	     #C(#00EE00)Suikastçiyi yen[{0}/1]#H  Kadın Sukaistçiyi yen[{1}/1]#H	0
     #C(#00EE00)击败刺客[{0}/1]#H     击败护卫 [{1}/1]#H	 #C(#00EE00)Suikastçıyı yen[{0}/1]#H Muhafızı yen[{1}/1]#H	0
     #C(#00EE00)击败刺客头领[{0}/1]#H     击败强盗头子[{1}/1]#H	 #C(#00EE00)Sukaistçı Liderini yen[{0}/1]#H Eşkiya liderini yen[{1}/1]#H	0
     #C(#00EE00)击败劫匪[{0}/1]    	 #C(#00EE00)Hırsızı yen[{0}/1]#H	0
     #C(#00EE00)击败劫匪[{0}/1]#H     击败守卫[{1}/1]#H	 #C(#00EE00)Hırsızı yen[{0}/1]#H Muhafızı yen[{1}/1]#H	0
     #C(#00EE00)击败喽啰[{0}/1]#H     击败光射手[{1}/1]#H	 #C(#00EE00)Uyduyu yen[{0}/1]#H Ayışığı Okçusunu yen[{1}/1]#H	0
     #C(#00EE00)击败女刺客[{0}/1]#H     击败强盗[{1}/1]#H	 #C(#00EE00)Kadın Sukaıstçiyi yen[{0}/1]#H Eşkiya liderini yen[{1}/1]#H	0
     #C(#00EE00)击败女射手[{0}/1]#H     击败神射手[{1}/1]#H     击败弓箭手[{2}/1]#H     击败媚射手[{3}/1]#n	     #C(#00EE00)Nişancı bayanı yen[{0}/1]#H     Nişancı adamı yen[{1}/1]#H     Yay Burcunu yen[{2}/1]#H     Gelişmiş Okçuyu yen[{3}/1]#n	0
     #C(#00EE00)击败妖姬[{0}/1]#H     击败打手[{1}/1]#H	 #C(#00EE00)Ölüm Perisini yen[{0}/1]#H Zorbaları yen[{1}/1]#H	0
     #C(#00EE00)击败守卫[{0}/1]#H     击败凶残劫匪[{1}/1]#H	 #C(#00EE00)Muhafızı yen[{0}/1]#H Vahşi Hırsızı yen[{1}/1]#H	0
     #C(#00EE00)击败小四[{0}/1]#H     击败小五[{1}/1]#H     击败小六[{2}/1]#H     击败小七[{3}/1]#n	     #C(#00EE00)Orell ı yen[{0}/1]#H     Duncan ı yen[{1}/1]#H     Morris ı yen[{2}/1]#H     Archie yi yen[{3}/1]#n	0
     #C(#00EE00)击败强盗[{0}/1]	 #C(#00EE00)Hırsızı yen[{0}/1]#H	0
     #C(#00EE00)击败强盗头子[{0}/1]#H     击败强盗 [{1}/1]#H	     #C(#00EE00)Eşkiya Liderini yen[{0}/1]#H   Eşkiyaları yen[{1}/1]#H	0
     #C(#00EE00)击败暗射手[{0}/1]	 #C(#00EE00)Kara Okçuları yen[{0}/1]	0
     #C(#00EE00)击败暗射手[{0}/1]#H     击败喽啰[{1}/1]#H	 #C(#00EE00)Kara Okçuları yen[{0}/1]#H Uyduyu yen[{1}/1]#H	0
     #C(#00EE00)击败杀手[{0}/1]	 #C(#00EE00)Katilleri yen[{0}/1]	0
     #C(#00EE00)击败杀手[{0}/1]#H     击败女刺客 [{1}/1]#H	 #C(#00EE00)Katilleri yen[{0}/1]#H Kadın Sukaistçiyi yen[{1}/1]#H	0
     #C(#00EE00)击败杀手[{0}/1]#H     击败女刺客[{1}/1]#H	 #C(#00EE00)Katilleri yen[{0}/1]#H Kadın Sukaistçiyi yen[{1}/1]#H	0
     #C(#00EE00)击败艳后[{0}/1]	 #C(#00EE00)Güzellik Kraliçesini yen[{0}/1]	0
     #C(#00EE00)击败艳后[{0}/1]#H     击败刺客[{1}/1]#H	 #C(#00EE00)Güzellik Kraliçesini yen[{0}/1]#H Sukaitçileri yen[{1}/1]#H	0
     #C(#00EE00)击败阿大[{0}/1]#H     击败阿二[{1}/1]#H     击败阿三[{2}/1]#H     击败阿末[{3}/1]#n	#C(#00EE00) Artest i yen[{0}/1]#H  Urmont u yen[{1}/1]#H  Arson u yen[{2}/1]#H  Tyras ı yen[{3}/1]#n	0
     #C(#EE0000)100级可接取#C(#4876FF)安然接受#H#n     #C(#EE0000)挑战恶魔深渊获得经验#n	     #C(#EE0000) Seviye 100 gereklidir #C(#4876FF) Akıntıyla git #H#n  #C(#EE0000) Tecrübe almak için Mahzende mücadele et #n	0
     #C(#EE0000)100级可接取#C(#4876FF)新的挑战#H#n     #C(#EE0000)挑战恶魔深渊获得经验#n	     #C(#EE0000) Seviye 100 gereklidir #C(#4876FF) Yeni mücadele  #H#n  #C(#EE0000) Tecrübe almak için Mahzende mücadele et #n	0
     #C(#EE0000)100级可接取#C(#4876FF)破灭#H#n     #C(#EE0000)挑战恶魔深渊获得经验#n	     #C(#EE0000) Seviye 100 gereklidir #C(#4876FF) Açık göz  #H#n  #C(#EE0000) Tecrübe almak için Mahzende mücadele et #n	0
     #C(#EE0000)100级可接取#C(#4876FF)破灭之心#H#n     #C(#EE0000)挑战恶魔深渊获得经验#n	     #C(#EE0000) Seviye 100 gereklidir #C(#4876FF) İlerleme  #H#n  #C(#EE0000) Tecrübe almak için Mahzende mücadele et #n	0
     #C(#EE0000)100级可接取#C(#4876FF)破而心生#H#n     #C(#EE0000)挑战恶魔深渊获得经验#n	     #C(#EE0000) Seviye 100 gereklidir #C(#4876FF) Yeniden doğuş  #H#n  #C(#EE0000) Tecrübe almak için Mahzende mücadele et #n	0
     #C(#EE0000)100级可接取#C(#4876FF)镜·圣辉城#H#n     #C(#EE0000)挑战恶魔深渊获得经验#n	     #C(#EE0000) Seviye 100 gereklidir #C(#4876FF) Imaj·Şanlı şehir  #H#n  #C(#EE0000) Tecrübe almak için Mahzende mücadele et #n	0
